技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"流雲墜
ﾖﾐ

中中
 / 10,21",23F,-6,D※,D※,,"JS5F
ダウンにヒットで性能変化"
"流雲墜～しゃがみ
ﾖﾐ

中中
 / 10,21",23F,-6,D※,D※,,"JS5F
しゃがみ帰着"
"白鷺
ﾖﾐ

下上
 / 5,8",14F,-19,-8,-8,,"ガードの値は1段目ガード時
2段目ガード時-3F、ヒット+9F
1段目カウンターから連続ヒット"
"泰山白鷺
ﾖﾐ

下上,上
 / 5,8,10",,-2,+9,+9,,2段目カウンターから連続ヒット
"泰山白鷺～翠剄
ﾖﾐ

下上,上,上
 / 5,8,10,12",,-2,+9,+9,,"翠剄（）に派生
3段目カウンターから連続ヒット"
"白鷺遊舞
ﾖﾐ

下上,上,中
 / 5,8,10,23",,-9,+4,D,,3段目カウンターから連続ヒット
"白鷺下段脚
ﾖﾐ

下上,上,下
 / 5,8,10,15",,-23,D※,D※,,"CS
3段目カウンターから連続ヒット
S2変更：ヒットバック軽減
判定強化"
"白鷺鬼首
ﾖﾐ

下上,中
 / 5,8,24",,-2,D※,D※,,"Sc
鬼首落とし（）に派生"
"白鷺鬼首～キャンセル
ﾖﾐ

下上
 / 5,8",,-37,-26,-26,,"ガードの値は1段目ガード時
2段目ガード時は-20F"
"後蹴腿
ﾖﾐ

上中段P捌き,上
 / 21",28F,±0,D※,D※,,上中段パンチ捌き受付、発生7～15F
"鬼殺し
ﾖﾐ

中
 / 20",17F,-18,浮,浮,,
"鬼殺し～キャンセル
ﾖﾐ

特殊
 / ",,,,,26,"CS？F
しゃがみ帰着"
"鬼首落とし
ﾖﾐ

中
 / 24",31F,-2,D※,D※,,"Sc
でキャンセル"
"鬼首落とし（2回転）
ﾖﾐ
ホールド
中
 / 26",52F,+6,D※,D※,,"Sc
でキャンセル"
"鬼首落とし（3回転）
ﾖﾐ
最大ホールド
ガード不能
 / 28",70F,D,D※,D※,,でキャンセル
"霞蹴り
ﾖﾐ

上
 / 21",19F,+3,D※,D※,44,"HSc
S2変更：判定下方強化"
"禊ぎ払い
ﾖﾐ

上
 / 26",15F,-9,D※,D※,,"Pw8F
S2変更：ガード硬直-11F→-9F
飛鳥側のヒット硬直を軽減"
"阿羅々木(1)
ﾖﾐ

中
 / 10",13F,-3,+8,+8,,
"阿羅々木
ﾖﾐ

中,上(,打投)
 / 10,13(,20)",,-1,打投,打投,,"ダメージ()内は打撃投げ成立時
正面以外のヒットはダウン
1段目カウンターから連続ヒット
ディレイ幅7F"
"伽羅木
ﾖﾐ

中,中
 / 10,22",,-12,D※,D＊,,"1段目カウンターから連続ヒット
ディレイ幅7F"
"昇打
ﾖﾐ

中
 / 14",15F,-6,浮,浮,40,しゃがみノーマルヒットは+5F
"鏡乃
ﾖﾐ

中
 / 22",20F,-8,D※,D※,,"S2変更：ダウンヒットで鐘楼やられ
掘り起こしネタは健在"
"フロントキック

中
 / 16",12F,-9,+2,+2,,
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
技後入力で立ち帰着
しゃがみ帰着"
"雲雀槌
ﾖﾐ

中
 / 18",18F,-4S,+9S,D※,,ガード or ノーマルヒットで強制しゃがみ
"シットスピンキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"砂城
ﾖﾐ
 or しゃがみ中
下
 / 20",20F,-18,D※,D※,,"CS15F
S2変更：ヒットバック軽減"
"紫雲二段蹴り
ﾖﾐ

下上
 / 5,20",14F,-25,浮,浮,,"JS5F
ガードの値は1段目ガード時
2段目ガード時は-6F"
"燕返し
ﾖﾐ

中
 / 13",14F,-9,+4,+9,,CS6F
"戻り飛燕
ﾖﾐ

中,下
 / 13,17",,-13,+3S,D※,,"CS
ノーマルヒットで強制しゃがみ
1段目カウンターから連続ヒット"
"蒼槍掌
ﾖﾐ

中
 / 22",23F,-13,浮※,浮※,,CS3F
"時雨燕
ﾖﾐ

下
 / 17",21F,-12,+4S,+14G,,"ヒットで強制しゃがみ
S2変更：ダメージ16→17
カウンターで+4SF→+14GF
判定強化"
"菫
ﾖﾐ

下(,打投)
 / 17(,22)",29F,-10,+6,打投,58,"CS6F
しゃがみ帰着
カウンターヒットで菫刈に移行
ダメージ()内は打撃投げ成立時
S2変更：ガードバック軽減"
"燕槌
ﾖﾐ

中
 / 12",15F,-4S,+1S,+１S,,ガード or ヒットで強制しゃがみ
"燕槌～霞掌拳
ﾖﾐ

中,中
 / 12,14",,-7,+4,+4,,"霞掌拳（）に派生
1段目カウンターから連続ヒット"
"燕槌～刈脚
ﾖﾐ

中,下
 / 12,14",,-11,±0,+3,,"CS
刈脚（）に派生"
"燕槌～刈脚～しゃがみ
ﾖﾐ

中,下
 / 12,14",,-11,±0,+3,,"CS
しゃがみ帰着"
"燕槌～彩華
ﾖﾐ

中,上
 / 12,7",36F,-9,+2,+2,,"1段目から連続ヒット
ディレイ幅12F
カウンター確認猶予9F
S2変更：ガード硬直-10F→-9F
ヒット+1F→+2F
ヒットバック軽減"
"燕槌～彩華～キャンセル
ﾖﾐ

中
 / 12",46F,-6S,-1S,-1S,,しゃがみ帰着
"燕槌～彩華蓮蹴
ﾖﾐ

中,上,中
 / 12,7,20",,-13,D※,D※,,"Sc
2段目カウンターから連続ヒット"
"竜車蹴り
ﾖﾐ

中
 / 15",16F,-19,浮,浮,54,JS10F
"竜車蹴り鬼殺し
ﾖﾐ

中,中
 / 15,20",,-20,浮,浮,,1段目ガードから発生23F以内で割り込み可
"竜車蹴り鬼殺し～キャンセル
ﾖﾐ

中
 / 15",,-33,浮,浮,,"JS10F
しゃがみ帰着"
"竜車蹴り刈脚
ﾖﾐ

中,下
 / 15,14",,-11,±0,+3,,"CS
刈脚（）に派生
S2変更：ガードバック軽減"
"竜車蹴り刈脚～しゃがみ
ﾖﾐ

中,下
 / 15,14",,-11,±0,+3,,"CS
しゃがみ帰着"
"穿羽
ﾖﾐ

中
 / 17",15F,-8,+8,D※,45,
"石蕗
ﾖﾐ

中,中
 / 17,12",,-12,+4S,+4S,,"ノーマルヒットで強制しゃがみ
ディレイ幅15F"
"艶葉蕗
ﾖﾐ

中,中,中
 / 17,12,21",,-16,D※,D※,,"2段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F
S2変更：2段目からノーマルで連続ヒット
ディレイ幅8F→10F"
"水仙(2)
ﾖﾐ

上下
 / 15,8",12F,-8,+5,+7,,
"裏水仙
ﾖﾐ

上下,下
 / 15,8,18",,-13,-2,D※,,2段目カウンターから連続ヒット
"水仙
ﾖﾐ

上下,中
 / 15,8,23",,-14,+5B,+5B,,"Sc
2段目カウンターから連続ヒット"
