技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"Ｃ･アップロッククラップ

中,中
 / 12,20",,-4,+4S,D※,,"しゃがみ帰着
ノーマルヒットで強制しゃがみ
1段目カウンターから連続ヒット
S2変更：技が出るタイミングを1F遅くした
ヒット+2SF→+4SF
しゃがみ帰着"
"Ｃ･アップロックスイング

中,上上
 / 12,6,20",,-2,+13K,D※,,"HSc
1段目カウンターから連続ヒット
S2変更：ダメージ12,12,20→12,6,20"
"ホッピング

中
 / 15",16F,-9,+5,+5,,S2変更：ガード硬直-11F→-9F
"アックスエアリアル

中
 / 14",27F,-4,+9S,+9S,,"JS9F
しゃがみステータスなし
ヒットで強制しゃがみ
S2変更：ジャンプステータスの持続を短縮
2段目入力でジャンプステータス発生が13Fになっていたのを修正"
"アックスエアリアル～背向け

中
 / 14",27F,-4,+9S,+9S,,"JS9F
しゃがみステータスなし
ヒットで強制しゃがみ"
"アックスエアリアル・ダブル

中,中
 / 14,10",,-13,浮※,浮※,,"JS
1段目から連続ヒット
1段目ガードから発生12F以内で割り込み可能"
"アックスエアリアル・ダブル～背向け

中,中
 / 14,10",,-9,浮※,浮※,,JS
"ビートエルボー

上
 / 32",25F,+7,D※,D※,,"WB
しゃがみステータスなし
S2変更：ガード硬直-5F→+7F
ガードバック軽減
ヒットで頭叩きつけダウン→ウォールバウンド
ホーミング性能強化"
"タッチダウンライズ

中中下
 / 14,16,16",29F,-11,D,D,,"JS19F
3段目のみヒット時は+8F＆強制しゃがみ
2段目ガードから発生9F以内で割り込み可能"
"タッチダウンライズ～バッファロー

中中,中
 / 14,16,10",,-17S,D※,D※,,"JS
ガードで強制しゃがみ
2段目ガードから発生10F以内で割り込み可能"
"ステップインアッパー

中
 / 13",13F,-1,+7,+7,33,
"Ｃ･クランプ

中
 / 14",15F,-13,浮,浮,,
"Ｃ･クランプ･スペシャル
 or 立ち途中ヒット時ＪＪＪ
中,中,中,中
 / 14(20),20,20,20",,,,,,"Sc
ダメージ()内は立ち途中入力時
2段目以降は空中ヒットのためダメージは推定
空中ヒット時も派生可
S2変更：ダメージ14,20,10,26→14,20,20,20"
"パンキング

中
 / 15",14F,-9,+2,+2,,S2変更：発生15F→14F
"パンキング･トゥエル

中,中
 / 15,21",,-6,+2S,浮※,,"ディレイ幅17F
ノーマルヒットで強制しゃがみ
判定持続1F
S2変更：技の発生が遅くなった
ガード硬直-11F→-6F
カウンターでも連続ヒットしなくなった"
"パンキング･マリオネット

中,中
 / 15,15",,-14,+7K,+7K,,"Sc
1段目から連続ヒット
ディレイ幅7F
ヒット確認猶予7F
S2変更：発生タイミングが早くなった
ガード硬直-13F→-14F
ヒット+8KF→+7KF
ディレイ幅15F→7F
ノーマルで連続ヒット"
"ダウンステップ

下
 / 19",25F,-12,+7S,D※,,"JS6F
ノーマルヒットで強制しゃがみ
S2変更：発生27F→25F
ダメージ23→19
カウンターで+7SF→転ばしうつ伏せダウン"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"ワッキング

中
 / 17",16F,±0,±0S,D※,,"ノーマルヒットで強制しゃがみ
S2変更：ガード硬直+2F→±0F
ノーマルヒット+2SF→±0SF
空中ヒットで叩きつけ（受身不可）に変更
リーチ延長"
"シットサイドキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"ローキック

下
 / 7",13F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"Ｃ･ウィンドミル

下下下
 / 10,5,5",23F,-13,-2,-2,,"CS6F
しゃがみ帰着
2段目から連続ヒット
カウンターで全段連続ヒット"
"Ｃ･ウィンドミル･ダブル

下下下,下下
 / 10,5,5,7,7",,-13,±0S,±0S,,"CS
しゃがみ帰着
ヒットで強制しゃがみ
Ｃ・ウィンドミルガードから発生12F以内で割り込み可能"
"Ｃ･ウィンドミル～エアートラックス～背向け
Ｊ
下下下,上中下
 / 10,5,5,7,7,7",,-34,-21S,-21S,,"ヒットで強制しゃがみ
連続ヒット
最後の下段はガードから下段捌きできない"
"Ｃ･ウィンドミル～エアートラックス～チェアー
Ｊ
下下下,上中下
 / 10,5,5,7,7,7",,-57,-44,-44,,
"Ｃ･ウィンドミル～エアートラックス～チェアー～キックアップ
Ｊ
下下下,上中下,中
 / 10,5,5,7,7,7,30",,-8,D,D,,"JS
判定持続3Fまで確認"
"Ｃ・アップロックタッチ

中
 / 20",21F,-13,D,D,,"Pw8F
S2変更：新技"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"Ｃ･グラインダー

下
 / 15",18F,-14,-3,±0,51,"CS6F
しゃがみ帰着
S2変更：ガード硬直-16F→-14F
ノーマルヒット-5F→-3F
カウンター-2F→±0F
全体硬直53F→51F
しゃがみ帰着
しゃがみステータス追加？
（前からあったような？）"
"Ｃ･グラインダー～スクート

下,中
 / 15",,-1,+3,+12,,"スクート（）連係に派生
S2変更：発生が早くなり、ノーマルヒットから10Fで割れなくなった"
"エアアーク

中
 / 20",25F,-16,浮※,浮※,,"S2変更：ヒットで浮き→大浮き
空中ヒットで縦回転やられ
ヒット硬直軽減"
"パームアップ

中
 / 20",17F,-11,D※,D※,,"S2変更：ダメージ27→20
ガード硬直-13F→-11F
カウンターで浮き→縦回転うつ伏せダウン
空中ヒットで縦回転やられ"
"サークルクラップ

中
 / 20",22F,-4,+4S,D※,,"ノーマルヒットで強制しゃがみ
しゃがみ帰着
S2変更：ダメージ25→20
ノーマルヒット+2SF→+4SF
ヒット時の挙動変更？
ヒットバック増大
しゃがみ帰着"
"グレイスターン

中
 / 15",17F,-11,+10K,+10K,,"HSc
S2変更：ヒットバック軽減"
"グレイスターン～背向け

中
 / 15",17F,-8,+13K,+13K,47,HSc
"ウォーキングニー

中
 / 17",16F,-8,+8,D※,46,
"ハッピースイング

上上上上
 / 5,5,5,15",20F,-8,D※,D※,,"Pw8F
S2変更：判定持続1F延長
判定下方強化
ホーミング性能強化"
