技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ガトリングコンビネーション

中,中,中,下
 / 14,11,10,12",,-11,±0,±0,,3段目カウンターから連続ヒット
"クイックソバット

中,上
 / 14,13",,-6,+6,+6,,1段目カウンターから連続ヒット
"アナコンダバイツ

中,上,上
 / 14,13,20",,-7,浮※,浮※,,2段目カウンターから連続ヒット
"ライオットアナコンダ

中,上,中
 / 14,13,25",,-12,D※,D※,,
"ハイキック

上
 / 15",12F,-7,+6,浮,38,
"ダブルスピントマホーク(2)

上,中
 / 15,12",,-10,+4,+4,,
"ダブルスピントマホーク

上,中,中
 / 15,12,16",,-12,D,D※,,"Sc
S2変更：ガード硬直をお互い3F減
ヒット時のブライアン側硬直減"
"ダブルスピントマホーク（最大ホールド）
ホールド
上,中,中
 / 15,12,25",,-9,D※,D＊,,Sc
"スナイパーソバットコンボ

上,中,上
 / 15,12,18",,-5,+6,浮,,
"スネークピット(1)

中
 / 16",17F,-7,+6,+5B,,H
"スネークピット

中,中
 / 16,20",,-14,D※,D＊,,"背面ヒット時ダウン
1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F
S2変更：ヒット+3F→崩れダウン（尻餅）
カウンターでダウン→崩れダウン（よろけ）"
"ミドルサイドキック

中
 / 20",18F,-13,D※,D＊,50,
"ストマックコンビネーション(1)

中
 / 10",15F,-10,+1,+1,,
"ストマックコンビネーション(2)

中,中
 / 10,12",,-10,+1,+1,,1段目から連続ヒット
"ストマックコンビネーション

中,中,中
 / 10,12,20",,-13,D※,D※,,1段目から連続ヒット
"ストマックニー

中
 / 18",16F,±0,+1,D※,45,判定持続2F
"ボアクラッシャー(1)

中
 / 10",18F,-9,±0,±0,,
"ボアクラッシャー

中,中
 / 10,10",,-13S,浮※,浮※,,"ガードで強制しゃがみ
1段目から連続ヒット
ディレイ幅6F
ヒット確認猶予6F"
"ソーク･クラブ

上
 / 22",22F,+8,D※,D※,50,
"クイックグラビトンハンマー

ガード不能
 / 21",28F,-12,-12,-12,,
"レフトボディブロー

中
 / 8",15F,-5,+1,+1,,
"ライトニングブロー(2)

中,中
 / 8,2",,-10,-4,-4,,"1段目から連続ヒット
ディレイ可"
"ライトニングブロー(3)

中,中,中
 / 8,2,2",,-10,-4,-4,,"1段目から連続ヒット
ディレイ可"
"ライトニングブロー

中,中,中,中
 / 8,2,2,2",,-10,-4,-4,,"1段目から連続ヒット
ディレイ可
S2変更：ガードバック軽減"
"ダブルボディブロー

中,中
 / 8,20",,-15,+1,D※,,"ライトニングブロー中からも可
1段目から連続ヒット
ディレイ不可"
"ブラックアウトコンビネーション(1)

中
 / 12",13F,-6,+5,+5,,
"ブラックアウトコンビネーション

中,上
 / 12,11",,-4,+4,+4,,1段目から連続ヒット
"ブラックアウト･トラップ

中,中
 / 12,20",,-13,D※,D＊,,"1段目カウンターから連続ヒット
ディレイ幅5F"
"スネークエッジ

下
 / 20",29F,-26,D※,D※,,"HCS6F
しゃがみ帰着"
"レッグスラッシュ

中
 / 23",23F,-5,D※,D※,,"HSc
発生22Fは左手方向にあるため通常の立ち合いで不成立
発生24Fは右手方向
S2変更：スクリュー誘発"
"シットジャブ
 or 
特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"エルボースラッシュ

中
 / 14",14F,-2,+1S,+8S,,ヒットで強制しゃがみ
"パイソンプレス

中,中
 / 14,21",,-10,D※,浮※,,"1段目カウンターから連続ヒット
ディレイ幅12F
カウンター確認猶予12F"
"クイックレフトローキック

下
 / 10",16F,-11,±0,±0,,
"クイックロースクリュー

下,上
 / 10,22",,-7,D※,D※,,1段目カウンターから連続ヒット
"クイックローキック

下
 / 11",15F,-11,±0,±0,,
"スネークファング
 or しゃがみ中
中中
 / 10,15",17F,-10,+3,+3,,"CS6F
S2変更：ガードバック軽減"
"スネークファングハチェット

中中,下
 / 10,15,20",,-13,+4,D※,,
"スネークファング(1)～ハイドクローラー

中,特殊
 / 10",,-1,+10G,+10G,,しゃがみ帰着
"スネークファング(1)～スウェー

中,特殊
 / 10",,-3,+8,+8,,"しゃがみ帰着
S2変更：ガード-8F→-3F
ヒット+3F→+8F
（つなぎを早くした）"
"スネークボム
【】
中
 / 24",45F,+2,浮※,浮※,,
"サイドロー

下
 / 15",19F,-12,-1,+4,,カウンターでやられモーション変化
"サイドローナックルウィップ

下,中
 / 15,23",,-12,D※,D※,,1段目カウンターから連続ヒット
"サイドローナックルウィップ～キャンセルしゃがみ

下,特殊
 / 15",,-23,-12,-7,,"しゃがみ帰着
1段目ヒットから27F後に受付"
"ストマックブロー

中
 / 13",15F,-6,+8,+8,,
"スイーパーキック

下
 / 11",16F,-12,-1,+4,,"CS6F
しゃがみ帰着"
"クラッシュインパクト

中上
 / 14,25",15F,-13,D※,D※,,
"チョッピングエルボー

中
 / 21",20F,+3,+7S,浮※,,"ノーマルヒットで強制しゃがみ
S2変更：ヒット+5SF→+7SF"
"ライトバックナックル

上
 / 18",17F,-7,+4,D※,43,
"ダブルバックナックル

上,上
 / 18,17",,±0,D※,D※,,ディレイ可
"ダブルバックナックル（1段目キャンセル）
【】
上
 / 17",29F,±0,D※,D※,54,
"マッハコンビネーション

上,上,上
 / 18,17,22",,-9,D※,D※,,
"ダブルバックナックル～キャンセル横移動
 or 
上,特殊
 / 18",,-9,+2,D※,,
"スラッシュコンビネーション(A)

上,中
 / 18,21",,-5,D※,D※,,"ScJS
S2変更：ガード時のお互いの硬直を3F減
ヒット時の硬直軽減（コンボ安定）
(2.10)判定強化"
"スラッシュコンビネーション(B)

上,上,中
 / 18,17,21",,-5,D※,D※,,"ScJS
S2変更：ガード時のお互いの硬直を3F減
ヒット時の硬直軽減（コンボ安定）
(2.10)判定強化"
"ストッピング

中
 / 12",19F,-7,+4,+4,,
"ストッピング～ハイドクローラー
 or 
中,特殊
 / 12",,+1,+12G,+12,,
"ストッピングフェイントストレート

中,上
 / 12,12",,-4,+7,+7,,1段目カウンターから連続ヒット
"ストッピングトリプルパンチ(3)

中,上,中
 / 12,12,10",,-9,+2,+2,,2段目から連続ヒット
"ストッピングトリプルパンチ

中,上,中,中
 / 12,12,10,14",,-10,D※,D※,,2、3段目カウンターから連続ヒット
"フリーズコンビネーション

中,上,中,下
 / 12,12,10,12",,-11,±0,±0,,2、3段目カウンターから連続ヒット
"ストッピングフェイントニー

中,中
 / 12,18",,-12,-1,-1,,"1段目カウンターから連続ヒット
ディレイ幅12F
カウンター確認猶予9F"
"ストッピング～ダブルハンマー

中,中
 / 12,25",,-6,+4S,D※,,"ノーマルヒットで強制しゃがみ
ディレイ幅12F
カウンター確認猶予8F"
"ストッピング～ダブルハンマー～しゃがみ

中,中
 / 12,25",,-6,+4S,D※,,"しゃがみ帰着
ノーマルヒットで強制しゃがみ"
"ニーブレイク

中
 / 18",16F,-10,+15,+15,45,
"グラビトンハンマー

ガード不能
 / 45",53F,D,D※,D※,,
