技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"スーパートリプルファング
Ｊ
上,中,上
 / 12,6,23",,-6,D※,D※,,1段目から連続ヒット
"スーパートリプルファング(2)～HMS
Ｊ
上,中,特殊
 / 12,6",,-1,+10,+10,,1段目から連続ヒット
"スーパートリプルファング(2)～キャンセルMS
【Ｊ☆】
上,特殊
 / 12",,-5,+1,+1,,
"リアクロスパンチ

上
 / 13",14F,-5,+1,+1,,
"リアクロスパンチ～MS
☆
上,特殊
 / 13",,-1,+5,+5,,
"スーパーハイコンビネーション(2)

上,上
 / 13,12",,-8,-6,D,,"1段目から連続ヒット
ディレイ幅13F
ヒット確認猶予9F"
"スーパーハイコンビネーション(2)～HMS

上,上,特殊
 / 13,12",,-10,-8,D,,"1段目から連続ヒット
ディレイ幅13F
ヒット確認猶予9F"
"スーパーハイコンビネーション

上,上,上
 / 13,12,21",,-3,D※,D※,,ScJS
"スティングラッシュ(1)

下
 / 9",15F,-14,-3,-3,,"S2変更：ダメージ6→9
ガードバック軽減
判定下方強化"
"スティングラッシュ

下,上
 / 9,15",,-12,-3,-3,,"1段目カウンターから連続ヒット
S2変更：2段目の発生を早くした"
"スティングラッシュ～MS
☆
下,上,特殊
 / 9,15",,-7,+2,+2,,1段目カウンターから連続ヒット
"シルバーヒール

中
 / 22",20F,-3,+7S,浮※,47,"ノーマルヒットで強制しゃがみ
しゃがみヒットでうつ伏せダウン
判定持続2Fまで確認"
"シルバーヒール～HMS

中,特殊
 / 22",20F,-2,+8S,浮※,,"ノーマルヒットで強制しゃがみ
しゃがみヒットでうつ伏せダウン
判定持続2Fまで確認"
"ミストフラッシュ

中
 / 25",20F,-15,D,D,,"Pw8F
S2変更：ガード硬直-17F→-15F
ガードバック増大
全体硬直2F軽減"
