技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"三散華
ﾖﾐ

上,上,上
 / 12,12,20",,-4,D※,D※,,"Sc
2段目カウンターから連続ヒット"
"日向砲
ﾖﾐ
【】
中
 / 25",25F,-13,浮※,浮※,,"CS4FJS10F
発生の値はコマンド完成から
硬直からの最速発生は26F
S2変更：攻撃判定を下方強化"
"吉光ブレード
ﾖﾐ
 or 立ち途中
中
 / 21",6F,-15,D※,D※,40,"判定持続1Fまで確認
背向け中も可"
"吉光ブレード(スライド)
ﾖﾐ
【】
中
 / 21",6F,-15,D※,D※,,"発生の値はコマンド完成から
入力猶予1F"
"否･旋風剣
ﾖﾐ

中
 / 0",22F,-8,±0,+16,60,判定持続18F
"卍裏拳
ﾖﾐ

上
 / 18",17F,-4,+14K,D※,46,Sc
"震電(2)
ﾖﾐ

上,中
 / 18,8",,-5,+6,+6,,しゃがみ帰着
"震電(3)
ﾖﾐ
*２
上,中*2
 / 18,8,7",,-8,+3,+3,,しゃがみ帰着
"震電(4)
ﾖﾐ
*３
上,中*3
 / 18,8,7,6",,-8,+3,+3,,しゃがみ帰着
"震電(5)
ﾖﾐ
*４
上,中*4
 / 18,8,7,6,5",,-8,+3,+3,,しゃがみ帰着
"震電(6)
ﾖﾐ
*５
上,中*5
 / 18,8,7,6,5,4",,-9,+2,+2,,しゃがみ帰着
"震電
ﾖﾐ
*６
上,中*6
 / 18,8,7,6,5,4,3",,-49,-38,-38,,吉光側ダウン
"バレリーナハイキック

上
 / 24",16F,-10,D※,D※,,HSc
"バレリーナキックコンボ

上,下
 / 24,16",,-20,D※,D※,,CS
"バレリーナキックコンボ～卍あぐら

上,下,特殊
 / 24,16",,-30,D※,D※,,CS
"稲妻～背向け
ﾖﾐ

上,中
 / 24,20",,-6,浮※,浮※,,JS
"戸板倒し
ﾖﾐ

中
 / 25",18F,-9,D※,D※,,"WB
S2変更：ウォールバウンド誘発"
"峰打ち殺し
ﾖﾐ

中
 / 22",18F,-7,D※,D※,,"判定持続1F
納刀時、獄門に変化"
"突衝(～地雷刃)
ﾖﾐ

中(,特殊)
 / 20(26)",21F,-14,D,D,,"Pw8F
ヒット時に自動で地雷走り～地雷刃移行
基本的に合計26ダメージ
壁ヒットで吉光2ダメージ、壁やられ強
その場合で卍あぐらに移行可能
ダメージ()内は地上ヒット時
判定持続4Fまで確認"
"血炎慈～背向け
ﾖﾐ

特殊
 / -",,,,,,"Pw8F
突衝発生20Fまで入力受付"
"柄当身
ﾖﾐ

中
 / 14",13F,-4,+5,+5,,
"禍電
ﾖﾐ

中,上
 / 14,18",,-4,+14K,D※,,"Sc
1段目カウンターから連続ヒット
で忍法卍菊に派生"
"紅葉蹴り
ﾖﾐ

中,中
 / 14,17",,-14,+4,+4,,1段目から連続ヒット
"ステップインアッパー

中
 / 13",15F,-7,浮,浮,41,しゃがみノーマルヒットは浮かない（+4F）
"弾割り(1)
ﾖﾐ

中
 / 10",17F,-4,+4,+4,,しゃがみ帰着
"弾割り
ﾖﾐ

中,中
 / 10,20",,-9,+4S,D※,,"1段目から連続ヒット
ノーマルヒットで強制しゃがみ"
"弾割り～キャンセル連獄剣
ﾖﾐ
ホールド
中,ガード不能
 / 10,20",,+4S,+4S,D※,,"ガード or ノーマルヒットで強制しゃがみ
ホールドで煉獄剣に派生
納刀時は使用不可"
"ミドルキック

中
 / 15",12F,-9,+4,+4,40,
"迅流撃(1)
ﾖﾐ

下
 / 10",26F,-11,+4,+7,,"CS8F
しゃがみ帰着
判定持続1Fまで確認"
"迅流撃
ﾖﾐ

下,中
 / 10,20",,-13,±0,+6K,,"1段目から連続ヒット
ディレイ幅11F
カウンター確認猶予11F"
"斬哭剣
ﾖﾐ

中
 / 15",24F,-9,+1S,D※,,ノーマルヒットで強制しゃがみ
"連獄剣(1歩)
ﾖﾐ
ホールド
ガード不能
 / 20",65F,+4S,+4S,D※,,"ガード or ノーマルヒットで強制しゃがみ
納刀時は不可"
"連獄剣(2歩)
ﾖﾐ
ホールド
ガード不能
 / 25",100F,+4S,+4S,D※,,ガード or ノーマルヒットで強制しゃがみ
"連獄剣(3歩)
ﾖﾐ
ホールド
ガード不能
 / 30",135F,+4S,+4S,D※,,ガード or ノーマルヒットで強制しゃがみ
"連獄剣(4歩)
ﾖﾐ
ホールド
ガード不能
 / 40",170F,D,D※,浮※,,
"連獄剣(5歩)
ﾖﾐ
ホールド
ガード不能
 / 60",205F,D,D※,浮※,,
"連獄剣(最大)
ﾖﾐ
ホールド
ガード不能
 / 180",240F,D,D※,浮※,,7歩以降も同ダメージ
"連獄剣キャンセル
ﾖﾐ
ホールド中
特殊
 / -",,,,,,
"圧切刈り(1)
ﾖﾐ

中
 / 12",16F,-9,±0,±0,,
"圧切刈り
ﾖﾐ

中,上
 / 12,23",,-9,D※,D※,,"Sc
1段目から連続ヒット
ディレイ幅17F
ヒット確認猶予9F
判定持続1F"
"圧切払い(2)
ﾖﾐ

中,中
 / 12,17",,-12,+7,D※,,"1段目から連続ヒット
ディレイ幅17F
ヒット確認猶予14F
S2変更：ガード硬直-14F→-12F
ヒット+5F→+7F"
"圧切払い
ﾖﾐ

中,中,上
 / 12,17,20",,-9,D※,D※,,ディレイ可
"圧切薙
ﾖﾐ

中,中,中
 / 12,17,17",,-12,+2S,D※,,"ノーマルヒットで強制しゃがみ
ディレイ可"
"圧切無刀
ﾖﾐ

中,中,特殊
 / 12,17",,-12,+7,D※,,"S2変更：ガード硬直-14F→-12F
ヒット+5F→+7F"
"スイープキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着
発生15Fだがリーチが短いため不成立"
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"不憂
ﾖﾐ

中段ガード不能
 / 60",30F,D,D※,D※,,吉光も1F後に60ダメージ
"卍血桜(1回転)
ﾖﾐ

中段ガード不能*2
 / 60,18",,D,D※,D※,,吉光も自傷ダメージ
"卍血桜(2回転)
ﾖﾐ
*２
中段ガード不能*3
 / 60,18,20",,D,D※,D※,,
"卍血桜(3回転)
ﾖﾐ
*３
中段ガード不能*4
 / 60,18,20,21",,D,D※,D※,,
"卍血桜(4回転)
ﾖﾐ
*４
中段ガード不能*5
 / 60,18,20,21,28",,D,D※,D※,,
"卍血桜(5回転)
ﾖﾐ
*５
中段ガード不能*6
 / 60,18,20,21,28,30",,D,D※,D※,,
"撫で孔雀(1)
ﾖﾐ

中
 / 16",20F,-16,±0S,±0S,,"ヒットで強制しゃがみ
納刀時はシットジャブに変化"
"撫で孔雀
ﾖﾐ

中,中
 / 16,23",,-8,D※,D※,,"1段目から連続ヒット
ヒット確認猶予20F"
"忍法卍菊(1)
ﾖﾐ

中
 / 8",15F,-5,+6,+6,,しゃがみ帰着
"忍法卍菊(2)
ﾖﾐ
*２
中*2
 / 8,7",,-8,+3,+3,,"1段目から連続ヒット
しゃがみ帰着"
"忍法卍菊(3)
ﾖﾐ
*３
中*3
 / 8,7,6",,-8,+3,+3,,"1段目から連続ヒット
しゃがみ帰着"
"忍法卍菊(4)
ﾖﾐ
*４
中*4
 / 8,7,6,5",,-8,+3,+3,,しゃがみ帰着
"忍法卍菊(5)
ﾖﾐ
*５
中*5
 / 8,7,6,5,4",,-9,+2,+2,,しゃがみ帰着
"忍法卍菊
ﾖﾐ
*６
中*6
 / 8,7,6,5,4,3",,-49,-38,-38,,
"忍法卍芟(1)
ﾖﾐ
 or しゃがみ中
下
 / 8",18F,-25,-14,-14,,"CS6F
しゃがみ帰着
S2変更：ダメージ10→8"
"忍法卍芟(2)
ﾖﾐ
*２
下*2
 / 8,7",,-19,-6,-6,,"CS
1段目から連続ヒット
しゃがみ帰着"
"忍法卍芟(3)
ﾖﾐ
*３
下*3
 / 8,7,7",,-19,-6,-6,,"CS
しゃがみ帰着"
"忍法卍芟(4)
ﾖﾐ
*４
下*4
 / 8,7,7,5",,-19,-6,-6,,"CS
しゃがみ帰着"
"忍法卍芟(5)
ﾖﾐ
*５
下*5
 / 8,7,7,5,5",,-19,-6,-6,,"CS
しゃがみ帰着"
"忍法卍芟
ﾖﾐ
*６
下*6
 / 8,7,7,5,5,5",,-26,-14,-14,,"CS
技後、吉光側ダウン"
"倒木蹴
ﾖﾐ
卍芟２～５中
中
 / 15",,-8,D,D,,
"忍法卍芟～卍あぐら
ﾖﾐ
卍芟２～５中
特殊
 / -",,-27,-14,-14,,
"野槌踏み
ﾖﾐ

下
 / 14",17F,-12,-1,-1,,
"毒溜め
ﾖﾐ
ホールド or しゃがみ中ホールド
特殊
 / -",,,,,,"CS11F
しゃがみ帰着
派生技最速発生までのコスト10F
派生技の先行入力不可"
"毒霧
ﾖﾐ
毒溜中 or 
上ガード不能
 / 25",21F,D,D※,D※,,判定持続19F
"解毒
ﾖﾐ
毒溜中 or 
中
 / 23",17F,-15,-13,-13,,JS
"シットスピンキック
Ｊ or ホールド中
下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"忍法卍葛(1)
ﾖﾐ

上
 / 5",17F,+1,+7,+12,,
"忍法卍葛(2)
ﾖﾐ
*２
上*2
 / 5,8",,+4,+5,+10,,1段目から連続ヒット
"忍法卍葛(3)
ﾖﾐ
*３
上*3
 / 5,8,8",,+4,+5,+10,,1段目から連続ヒット
"忍法卍葛(4)
ﾖﾐ
*４
上*4
 / 5,8,8,5",,+4,+5,+10,,3段目カウンターから連続ヒット
"忍法卍葛(5)
ﾖﾐ
*５
上*5
 / 5,8,8,5,5",,+4,+5,+10,,4段目から連続ヒット
"忍法卍葛
ﾖﾐ
*６
上*6
 / 5,8,8,5,5,5",,-95,,,,"5段目から連続ヒット
技後、吉光側ダウン"
"忍法卍葛～忍法卍芟
ﾖﾐ
忍法卍葛中
下
 / 7",,-20,-9,-9,,"忍法卍葛(1)～(3)から移行可能
卍葛(1)(2)から連続ヒット
S2変更：つなぎを早くした"
"卍華輪
ﾖﾐ
忍法卍葛中 or 
上,特殊
 / -",17F,-6,±0,+5,,軸ずらし、1回転ごと吉光の体力が5減る
"逢魔外法閃(1)
ﾖﾐ

中
 / 12",14F,-9,+2,+2,,
"逢魔外法閃(1)～金打
ﾖﾐ

中,特殊
 / 12",,-9,+2,+2,,厳頭（金打中）派生は2F早い
"逢魔外法閃
ﾖﾐ

中,中
 / 12,20",,-17,浮,浮,,"1段目カウンターから連続ヒット
ディレイ可
S2変更：ダウンヒットを鐘楼やられに変更
(Ver.2.20)攻撃ヒット範囲を下方向に拡大。"
"逢魔外法閃～金打
ﾖﾐ

中,中,特殊
 / 12,20",,-10,浮,浮,,厳頭（金打中）派生は4F早い
"逢魔釘打ち
ﾖﾐ

中,上
 / 12,21",,-13,D※,D※,,"1段目から連続ヒット
ディレイ幅15F
カウンター確認猶予8F
S2変更：ガードバック軽減"
"華輪(1回転)
ﾖﾐ
 or 
特殊
 / -",,,,,,"軸ずらし。1回転ごと吉光の体力が5減る。
入力で硬直軽減"
"華輪(2回転～)
ﾖﾐ
*６
特殊
 / -",,,,,,
