技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ブラックエルボーフック

中,上
 / 12,20",,-9,D※,D※,,"1段目から連続ヒット
ディレイ幅12F
ヒット確認猶予6F
カウンター確認猶予12F"
"スイッチキックトルネード(1)

中
 / 15",16F,-3,+4,+4,,
"スイッチキックトルネード(2)

中,中
 / 15,13",,-7,+3,+3,,1段目カウンターから連続ヒット
"スイッチキックトルネード

中,中,上
 / 15,13,22",,-7,D※,D※,,"Sc
2段目から連続ヒット"
"ワインドアップストンピング

中
 / 21",23F,+2S,+7S,D※,,"ガード or ノーマルヒットで強制しゃがみ
判定持続5F
S2変更：ガードで強制しゃがみ&有利"
"ハンマーインパクト

中
 / 25",20F,-13,D※,D※,,"Pw8F
S2変更：パンチ捌き削除
(Ver.2.20)ヒットで叩きつけうつ伏せダウン→叩きつけうつ伏せダウン（顔面）"
"ショルダーインパクト

中
 / 28",13F,-20,D※,D※,,"判定持続2F
S2変更：発生14F→13F
ガード硬直-17F→-20F
(Ver.2.20)【】で技が出せていたのを修正"
"レバークラック

中
 / 12",13F,-1,+7,+7,,
"スマッシュフック

中
 / 21",15F,-12,-1,D※,,"10連始動
連係入力時はカウンターでダウンしない"
"10連コンボ(2)

中,上
 / 21,8",,-12G,-1,-1,,"1段目から連続ヒット
技後、先行入力不可"
"ブラックニーリフト

中
 / 17",17F,-5,+5,D※,47,
"フロントキック

中
 / 15",12F,-4,+7,+7,35,
"スピニングラリアット

中
 / 20",25F,-7,D※,D※,,HSc
"フランケンシュタイナー

特中,上投
 / 15(,30)",28F,-18,-7,-7,,"CS13F
立ち状態の相手にガード or ヒットで投げ成立
しゃがみに対しては判定持続2Fがヒット
判定持続5F"
"シットジャブ
 or 
特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"ニーリフトコンビネーション
 or しゃがみ中
特中,中
 / 5,13",,-10,+6,+6,,1段目カウンターから連続ヒット
"ハンマーエッジ

中
 / 17",17F,-2,+5S,+9,,"しゃがみ帰着
S2変更：ガード強制しゃがみ削除"
"ハンマーエッジコンビネーション(2)

中,中
 / 17,17",,-14,-3,-3,,S2変更：新技
"ハンマーエッジコンビネーション

中,中,中
 / 17,17,20",,-11S,D※,D※,,"2段目から連続ヒット
S2変更：新技"
"ストンピング

下
 / 12",17F,-12,+1,+1,,
"ローキック

下
 / 9",14F,-13,-2,-2,,CS4F
"フラッシングエルボー

中
 / 25",30F,-8,±0S,±0S,,"JS21F
S2変更：ヒット状況強化"
"タロスカッター
 or しゃがみ中 or しゃがみ中
下
 / 12",17F,-16,-5,-3,,CS6F
"タロスカッターエッジ

下,上
 / 12,13",,-9,+15K,D※,,"Sc
1段目カウンターから連続ヒット
ディレイ幅8F
カウンター確認猶予8F
S2変更：新技"
"タロスカッタートラップ

下,中
 / 12,13",,-16,D,D,,"1段目カウンターから連続ヒット
ディレイ幅8F
カウンター確認猶予8F"
"シャドーステップ
 or 
下段捌き,特殊
 / -",,,,,27,"派生技の最速発生にコスト20F
下段捌き受付、発生3～14F
しゃがみ帰着"
"シャドースピア
シャドーステップ中
中,打撃投げ
 / 18(,15)",14F,-19S,打投,打投,,"CS
ダメージ()内は打撃投げ追加ダメージ
ガードで強制しゃがみ"
"ナックルパート

中
 / 10",14F,-11,±0,±0,,
"キラーPKコンボ

中,中
 / 10,20",,-16,D※,D※,,1段目カウンターから連続ヒット
"ブラックPKコンボ

中,上
 / 10,20",,-9,+13K,D※,,"Sc
1段目から連続ヒット
S2変更：新技"
"水面蹴り

下
 / 20",23F,-26,+5,D※,,"CS8F
しゃがみ帰着
判定持続2F"
"ロードロップキック

下
 / 20",29F,-20,D※,D＊,,"CS6FJS16F
ガード or 空振りで技後、アーマーキング側、足向けうつ伏せダウン"
"一本足ヘッドバット

中
 / 30",26F,+3,D※,D※,,S2変更：(Ver.2.20)壁やられ中の相手にヒットさせると、位置が入れ替わりやすかったのを緩和
"一本足ヘッドバットキャンセル～シャドーステップ

特殊
 / -",-F,,,,,派生技の最速発生にコスト30F
"ブラックジャブ

上
 / 12",12F,-7,+5,D※,42,
"ブラックジャブ～ヘルスタッブ

上,中
 / 12,15",,-12,+6,D※,,S2変更：カウンターで回復可能なよろけダウン→頭叩きつけダウン
"ナイフエッジコンビネーション(1)

中
 / 10",15F,-9,+2S,+2S,,
"ナイフエッジコンビネーション(2)

中,中
 / 10,8",,-12,-1,-1,,1段目から連続ヒット
"ナイフエッジコンビネーション

中,中,上
 / 10,8,20",,-7,D※,D※,,"Sc
1段目 or 2段目カウンターから連続ヒット
ディレイ幅20F
カウンター確認猶予5F
判定持続1F
S2変更：ヒットで崩れ落ちダウン→スクリューダウン"
"トラースキック

上
 / 23",16F,-10,D※,D※,,"判定持続2F
S2変更：ヒットで吹き飛びダウン→頭叩きつけダウン"
"トーキック

中
 / 15",15F,-11,±0,±0,,
"ローキック～スタナー
ヒット時
中,打撃投げ
 / 15,20",,,打投,,,入力タイミングはヒット～ヒット後2F（計3F）
"プッシング

中
 / 0",18F,+1,+5,+16,45,S2変更：フレームが2F有利になった
"アローストレート

中
 / 24",31F,-13,D※,D※,,S2変更：ガード不利が増えたが頭叩きつけダウンになった
"ダークヴィーナス～背向け

中段ガード不能,特殊
 / 50",63F,浮,浮※,浮※,,でキャンセル
