技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ビリバ

中
 / 17",15F,-23,浮,浮,,
"シットジャブ
 or 
特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"パウマーレス･ジーロゥ(1)

中
 / 11",17F,-9,+2,+2,,
"パウマーレス･ジーロゥ～座り

中,中,特殊
 / 11,18",,-5,+14S,D※,,"CS
ノーマルヒットで強制しゃがみ
1段目カウンターから連続ヒット"
"ロースピンキック

下
 / 12",16F,-15,-4,-4,,"CS4F
しゃがみ帰着"
"ヘランパゴ～座り
【】 or 【】
中,特殊
 / 21",20F,-14,浮※,浮※,,"JS14F
発生の値はコマンド完成から
硬直からの最速発生は、【】は22F、【】は23F"
"アグア
【】
下
 / 15",21F,-13,+3S,+3S,,"CS4F
発生の値はコマンド入力開始から
ヒットで強制しゃがみ
S2変更：ガード・ヒットバック軽減"
"アウー･ジ･ビッコ(1)

下
 / 11",15F,-16,-5,-5,,"CS4F
しゃがみ帰着"
"アウー･ジ･ビッコ

下,中
 / 11,24",,-13S,-8S,-8S,,"1段目カウンターから連続ヒット
ガード or ヒットで強制しゃがみ"
"バイシャ･ブラッソ

下
 / 13",18F,-18,-7,-7,,"CS4F
しゃがみ帰着"
"バイシャ･ブラッソ～ビリバ

下,中
 / 13,22",,-23,浮,浮,,1段目カウンターから連続ヒット
"ハスティラ

下
 / 10",23F,-18,-2,-2,,"CS6F
しゃがみ帰着
判定持続3Fまで確認"
"ハスティラ～逆立ち

下,特殊
 / 10",,-18,-2,-2,,"CS6F
しゃがみ帰着"
"ハスティラ･エ･シバタ

下,中
 / 10,25",,-15,+3S,D※,,"CSJS
しゃがみ帰着
ノーマルヒットで強制しゃがみ
判定持続4Fまで確認"
"ハスティラ～ラテラオ･トロッカ～座り
☆
下,中,特殊
 / 10,17",,-5,+6,D,,CSJS
"ハスティラ～ラテラオ･トロッカ～キャンセル逆立ち
☆
下,特殊
 / 10",,,,,,
"ハスティラ～ラテラオ･トロッカ～キャンセル座り
☆
下,特殊
 / 10",,,,,,
"ハスティラ～アルマーダ

下,上
 / 10,17",,-3,+8,D※,,"CS
派生に移行
ノーマルヒット時、軸ずれでダウン
1段目カウンターから連続ヒット"
"ハスティラ～バイア

下,下
 / 10,15",,-7,+9,+9,,"CS
しゃがみ帰着"
"ハスティラ～バイア～逆立ち

下,下,特殊
 / 10,15",,-9,+7,+7,,しゃがみ帰着
"ハスティラ～ヘランパゴ～座り
【】
下,中,特殊
 / 10,21",,-14,浮※,浮※,,JS
"コンビナソ･バイア

下,下,下
 / 10,15,15",,-14,+10S,+10S,,"ScCSJS
2段目カウンターから連続ヒット"
"コンビナソ･バイア～逆立ち

下,下,下,特殊
 / 10,15,15",,-25,-1,-1,,"ScCSJS
2段目カウンターから連続ヒット"
"ハスティラ～バイア～サベサダス

下,下,中
 / 10,15,11",,-14,+2,+4,,"CS
2段目カウンターから連続ヒット"
"ハスティラ～バイア～サベサダスアベリャ

下,下,中,中
 / 10,15,11,12",,-14,D,D,,"CS
3段目から連続ヒット"
"デコーパソ

中
 / 18",18F,-17,D,D,,CS4F
"デコーパソ(2 or 3)
…
中,中,,
 / 18,19,19",,-15,D,D,,
"デコーパソ(4)以降
*４…
中*4,...
 / 18,19,19,20...",,-13,D,D,,追加で技継続
"デコーパソ～コンパッソ～逆立ち

中,中,特殊
 / 18,21",,-13,+1,+1,,
"バルセロス

中
 / 12",30F,-7,浮,浮,,判定持続1F
"メイア･ルーア･ジ･コンパッソ(2)

中中
 / 12,12",30F,-10,+11G,D,,2段目のみカウンターで崩れダウン
"メイア･ルーア･ジ･コンパッソ(2)～逆立ち

中中,特殊
 / 12,12",,-33,-12,D,,
"メイア･ルーア･ジ･コンパッソ(2)～座り

中中,特殊
 / 12,12",,-13,+8,D,,
"メイア･ルーア･ジ･コンパッソ(3)

中中,上
 / 12,12,10",,-6,+8,+8,,
"メイア･ルーア･ジ･コンパッソ

中中,上,上
 / 12,12,10,25",,-7,D※,D※,,3段目から連続ヒット
"ガット

中
 / 16",14F,-8,+8,+8,,
"ガット～アウ･バチゥド

中,中
 / 16,10",,-23,-12,-12,,"JS
派生に移行
1段目カウンターから連続ヒット"
"ガット～アウ･バチゥド～逆立ち

中,中
 / 16,10",,+1,+12G,+12,,
"ゴデーミ

中
 / 14",14F,-11,+3,+3,,"S2変更：発生15F→14F
ガード硬直-10F→-11F
ヒット+4F→+3F"
"ゴデーミ～カウカニェイラ

中,上
 / 14,23",,-9,D※,D※,,"Sc
1段目から連続ヒット"
"ベンリン

中
 / 10",13F,-8,+8,+8,,
"ベンリン～ヘランパゴ～座り

中,中,特殊
 / 10,21",,-14,浮※,浮※,,"JS
1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予9F"
"ベンリン～フェイントレフトキック

中,中
 / 10,15",,-14,+2,+2,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予7F"
"アルマーダ

上
 / 17",20F,-6,+5,D※,45,ノーマルヒット時、軸ずれできりもみダウン
"アルマーダ～ハスティラ

上,下
 / 17,12",,-21,-12,-12,,"CS
派生に移行
しゃがみ帰着"
"アルマーダ～マカコエンペ(3)

上,中中
 / 17,7,17",,-9,D※,D※,,"JS
判定持続2Fまで確認"
"アルマーダ～マカコエンペ(3)～座り

上,中中,特殊
 / 17,7,17",,-16,D※,D※,,
"コンビナソ･マカコ･エンペ

上,中中,中
 / 17,7,17,12",,-13,-2S,-2S,,"JS
ヒットで強制しゃがみ"
"イスカラディモオゥン

中
 / 24",22F,-8,D※,D※,,S2変更：ガード硬直-6F→-8F
