技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"マクナスフォール(2)

上,中
 / 12,12",,-13,-6A,-6A,,"1段目カウンターから連続ヒット
ディレイ幅9F
カウンター確認猶予9F"
"マクナスフォール

上,中,中
 / 12,12,20",,-12S,+4S,D※,,"2段目ヒットからディレイなしで空中ヒット
ディレイ可
ガード or ノーマルヒットで強制しゃがみ"
"コンビネーション･ミモザ

上,中,上
 / 12,12,22",,-3,D※,D＊,,"Sc
2段目ヒットで空中ヒット
ディレイ可
ヒット確認猶予5F
S2変更：カウンターできりもみダウン→スクリューダウン"
"レプラホーンキック

上上
 / 10,20",14F,+6,D※,D＊,,"Sc
1段目から連続ヒット
2段目の判定持続1F
持続になりやすい
1段目ガードからしゃがまれた場合は-27F"
"スイーパーコンボ･クローズ(1)

上
 / 14",16F,-12,-3,-1,47,
"スイーパーコンボ･クローズ(2)

上,中
 / 14,13",,-14,浮,浮,,"1段目カウンターから連続ヒット（ディレイ不可）
ディレイ幅10F
S2変更：判定持続2F延長"
"スイーパーコンボ･クローズ

上,中,中
 / 14,13,20",,-14,D※,D※,,JS
"ダブルウィップ

上,上
 / 14,17",,+1,+13K,D※,,"1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予9F
カウンター確認猶予10F"
"双掌破
ﾖﾐ
 or 立ち途中
中
 / 24",17F,-14,D,D,,Pw8F
"ステップインアッパー

中
 / 13",13F,-1,+5,+5,,
"アッパーストレート

中,上
 / 13,10",,-3,+2,+9,,"ワンツーパンチ（）と同じ派生が可能
1段目から連続ヒット"
"アッパーストレート～横移動
 or 
中,上,特殊
 / 13,10",,-1,+4,+11,,
"ショートアッパー

中
 / 12",15F,-7,浮,浮,41,しゃがみノーマルヒットは+4F
"サイドキック

中
 / 13",14F,-11,+1,+1,,
"フラッシュコンボ(2)

中,上
 / 13,10",,-8,+3,+3,,"1段目から連続ヒット
ディレイ可"
"フラッシュコンボ(2)～キャンセル横移動
 or 
中,特殊
 / 13",,-19,-7,-7,,
"フラッシュコンボ

中,上,上
 / 13,10,6",,-10,+1,+1,,1段目から連続ヒット
"アサルトコンボ

中,上,上,中
 / 13,10,6,22",,-14,D,D※,,"3段目カウンターから連続ヒット
ディレイ可"
"クリークアタック

中,上
 / 13,12",,+1,+2,+12,,"1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F"
"クリークアタックステップ

中,上,特殊
 / 13,12",,-1,±0,+10,,"ステップ中先行入力可
＋攻撃ボタンで立ち途中攻撃
＋攻撃ボタンで掌握ステップ派生"
"クリークアタックステップ～デビルキッスステップ

中,上,特殊
 / 13,12",,+10,+11,+21,,"クリークアタック～横移動の受付前に入力で成立
ガード・ヒットのフレームは先行入力デビルキッス（発生43F）に対しての値"
"クリークアタック～横移動
 or 
中,上,特殊
 / 13,12",,±0,+1,+11,,
"クリークアタックコンボ(3)

中,上,上
 / 13,12,6",,-3,+4,+4,,"2段目カウンターから連続ヒット
ディレイ可"
"クリークアタックコンボ

中,上,上,下
 / 13,12,6,12",,-13,-2,-2,,"CS
3段目カウンターから連続ヒット
ディレイ可
しゃがみ帰着"
"クリークアタック&ディバインキャノン

中,上,中
 / 13,12,21",,-17,浮,浮,,"2段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予10F"
"クリークアタック&ライトハイキック

中,上,上
 / 13,12,22",,-6,D※,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予10F"
"クリークアタック&レフトローキック

中,上,下
 / 13,12,10",,-14,-3,-3,,"CS
ディレイ不可
2段目カウンターから連続ヒット
しゃがみ帰着"
"クリークアタック&レフトローライトアッパー

中,上,下,中
 / 13,12,10,10",,-13,浮,浮,,3段目カウンターから連続ヒット
"クリークアタック&レフトローライトハイキック

中,上,下,上
 / 13,12,10,18",,-6,+5,浮,,3段目カウンターから連続ヒット
"クリークアタック&ハーリングキックコンボ

中,上,下,上,中
 / 13,12,10,18,20",,+2S,+5S,D※,,"ガード or ノーマルヒットで強制しゃがみ
判定持続1F"
"ラビットキックコンボ(2)

中,上
 / 13,6",,-14,-3,-3,,"1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F"
"ラビットキックコンボ(3)

中,上,上
 / 13,6,8",,-14,-3,-3,,"1段目から連続ヒット
ディレイ可"
"ラビットキックコンボ

中,上,上,上
 / 13,6,8,20",,-6,D※,D※,,"Sc
3段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予6F"
"ディグリーズアタック

中,上
 / 13,21",,-4,+7,+7,,"JS
1段目から連続ヒット
ディレイ可"
"ディグリーズアタック･アサルト

中,上,下
 / 13,21,20",,-12,D※,D＊,,"CSJS
2段目カウンターから連続ヒット"
"ディグリーズアタック･ハンター

中,上,中中
 / 31,21,8,21",,-5,D※,D※,,"JS
判定持続2Fまで確認"
"レフトミドル&ライトハイキック

中,上
 / 13,20",,-6,D※,D※,,"Sc
1段目から連続ヒット
ディレイ可"
"フロントキック

中
 / 15",12F,-4,+7,+7,,
"レイハンズ

中中
 / 5,10",16F,-3,+20K,+20K,,"HSc
1段目のみガード硬直-6F
S2変更：スクリュー誘発"
"シットジャブ
 or 
特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"シットトリプルコンボ(2)
 or しゃがみ中
特中,特中
 / 5,8",,-6,+5,+5,,"CS
1段目カウンターから連続ヒット
しゃがみ帰着"
"シットトリプルコンボ
 or しゃがみ中
特中,特中,中
 / 5,8,10",,-14,-3,-3,,"2段目カウンターから連続ヒット
判定持続2F"
"レイブキック
 or しゃがみ中
特中,中
 / 5,10",,-11,±0,±0,,1段目カウンターから連続ヒット
"カットスロート(1)

下
 / 13",20F,-12,±0,+5,,"CS6F
しゃがみ帰着"
"カットスロート

下,上
 / 13,20",,-6,D※,D＊,,"Sc
1段目カウンターから連続ヒット
S2変更：前進量を増加してリーチ増加&ノックバック軽減
"
"シットスピンキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"シットスピン&ライトアッパー
 or しゃがみ中
下,中
 / 12,10",,-13,浮,浮,,1段目カウンターから連続ヒット
"シットスピン&ハーリングキックコンボ(2)
 or しゃがみ中
下,上
 / 12,18",,-6,+5,浮,,1段目カウンターから連続ヒット
"シットスピン&ハーリングキックコンボ
 or しゃがみ中
下,上,中
 / 12,18,20",,+2S,+5S,D※,,"ガード or ノーマルヒットで強制しゃがみ
判定持続1F"
"ライトローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"ライトローキック&バックスピンチョップ
 or しゃがみ中
下,上
 / 7(10),10",,±0,+6,+11,,"ダメージ()内はしゃがみ中始動
1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予6F"
"ライトローキック&バックスピンチョップ～キャンセル横移動
 or しゃがみ中 or 
下,特殊
 / 7(10)",,-13,-2,-2,,"ダメージ()内はしゃがみ中始動
やられ側は要素の技を出すと硬直が早く解ける"
"サイドステップスタッブ

中
 / 20",24F,-5,D※,D＊,,"HSc
姿勢潜り"
"ヒールストローク

下
 / 17",20F,-13,+3S,D※,,ノーマルヒットで強制しゃがみ
"スライサー

下
 / 5",16F,-9,+2,+2,,"CS6F
技後ニーナ側足向けうつ伏せダウン
判定持続1F"
"ディバインキャノンコンボ

下,中
 / 5,21",,-17,浮,浮,,"1段目カウンターから連続ヒット
判定持続1F
持続になりやすい"
"ハンティングスワン

ガード不能
 / 50",65F,D,D※,D※,,
"ハンティングスワン～キャンセル

特殊
 / ",,,,,65,
"ディバインキャノン

中
 / 21",19F,-17,浮,浮,,
"キリングブレード

中
 / 15",20F,-16,D※,D※,,"S2変更：ガード硬直-18F→-16F
ガードバック軽減
ヒット時のニーナ側硬直軽減"
"ビンタ

上
 / 12",12F,-14,-3,-3,,女性キャラはでビンタ返し（ダメージ15）可能
"往復ビンタ

上,上
 / 12,14",,-6,+5,+2,,1段目から連続ヒット
"BBラッシュ

上,上,上
 / 12,14,20",,-9,+9K,D※,,"1段目カウンターから連続ヒット
2段目カウンターから連続ヒット
ディレイ幅14F
カウンター確認猶予7F
S2変更：カウンター+9KF→崩れダウン（頭）"
"BBラッシュ～キャンセル横移動
 or 
上,上,特殊
 / 12,14",,-10,+1,+1,,やられ側は要素の技を出すと硬直が早く解ける
"スティンガーレフトヒール

中
 / 10",18F,-6,+6S,+6S,,"ヒットで強制しゃがみ
S2変更：ダメージ16→10"
"スティンガーレフトヒールコンボ

中,上
 / 10,17",,-8,D※,D＊,,"1段目から連続ヒット
ディレイ幅17F
ヒット確認猶予17F
S2変更：ダメージ20→17
ノーマルヒットできりもみダウン→横回転ダウン"
"スティンガーライトヒール

上
 / 15",14F,-7,+11,+18,40,ノーマルヒット時、やられ側でダウン選択可
"震通掌破
ﾖﾐ

中,中
 / 6,26",18F,-7,D※,D※,,
"リバースアイボリーカッター

中中
 / 4,14",16F,-15,浮,浮,,
