技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"フェイスグラインダー

上,中,打投
 / 10,15(,25)",,-12,打投,打投,,"1段目カウンターから連続ヒット
正面ヒットで打撃投げ移行
ダメージ()内は打撃投げ追加ダメージ
側面・背面ヒット+8F"
"ショックアンドオウ(1)

中
 / 13",18F,-7,+9,+9,,
"ショックアンドオウ

中,中
 / 13,20",,-19,D※,D※,,"1段目から連続ヒット
ディレイ幅6F
ヒット確認猶予6F"
"ウォーカーメーカー

中
 / 21",24F,-15,浮,浮,,Pw8F
"トリップワイヤー

下
 / 16",28F,-12,+5,+5,,
"サイドスワイプスマッシュ(1)

中
 / 13",13F,-3,+4,+4,,
"サイドスワイプスマッシュ(2)

中,上
 / 13,9",,-4,+7,+7,,"1段目から連続ヒット
ディレイ可"
"サイドスワイプスマッシュ

中,上,中
 / 13,9,21",,-13,D※,D＊,,Sc
"テンダライザー

中,中
 / 13,20",,-11,+7,+7,,1段目から連続ヒット
"テンダライザー～インティミデーション
ホールド
中,中,構え
 / 13,20",,-11,+7,+7,,
"ブラッドムーン

中
 / 12",15F,-14,浮,浮,,
"ブラッドムーン～インティミデーション
ホールド
中,構え
 / 12",,-14,浮,浮,,
"スコッチメイデン(1)

中
 / 13",15F,-7,+4,+4,,
"スコッチメイデン(2)

中,上
 / 13,12",,-2,+9,+9,,1段目から連続ヒット
"スコッチメイデン

中,上,中
 / 13,12,20",,-11,±0S,D※,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予9F"
"アイアンメイデン

中,上,中
 / 13,12,23",,-14,D,D※,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予6F"
"フロントキック

中
 / 15",14F,-7,+4,+4,,
"フロントキック・テンプルスマッシュ

中,上
 / 15,20",,+1,+6,+6,,1段目から連続ヒット
"フロントキック・テンプルスマッシュ～インティミデーション
ホールド
中,上,構え
 / 15,20",,+5,+10,+10,,1段目から連続ヒット
"フロントキック・ニーリフト

中,中
 / 15,18",,-9,+7,D,,1段目カウンターから連続ヒット
"ノー・エクセプションズ

中,中
 / 10,15",22F,-14S,D※,D※,,1段目カウンターから連続ヒット
"シットジャブ
 or 
特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"バッドブレイク

中
 / 17(,30)",17F,-9,+2S,打投,,"カウンターでデスペナルティ（打撃投げ）に自動派生
ダメージ()内は打撃投げの追加ダメージ"
"ジョイントクラッシュ

下
 / 12",15F,-12,-1,-1,,
"ローキック

下
 / 7",12F,-13,-2,-2,,CS4F
"アゴニー～インティミデーション

下
 / 25",24F,-15,+7,+7,,インティミデーション派生はヒット時のみ（空振り or ガード時は派生しない）
"レフトローキック

下
 / 12",16F,-15,-4,-4,,"CS6F
技表にないため仮称"
"ボトムキック

下
 / 15",19F,-13,+3,+7Y,,
"バイオレントシージ

上
 / 26",21F,-8,+11K,D※,,HSc
"バイオレントシージ～インティミデーション
ホールド
上段ガード不能
 / 33",43F,+11K,+11K,D※,,HSc
"モロトフ・カクテル(1)

中
 / 12",16F,-9,+2,+2,,
"モロトフ・カクテル

中,中
 / 12,23",,-10,D※,D＊,,"Sc
1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予8F"
"バックスイング

上
 / 15",16F,-9,-3,-3,,H
"バックスイング～ブレインバッシュ～デスペナルティ

上,中
 / 15,20(,30)",,-11,打投,打投,,"正面ヒット時、打撃投げに移行
ダメージ()内は打撃投げの追加ダメージ
側面・背面ヒット±0SF
1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予10F"
"バックスイング・フューネラル

上,中
 / 15,20",,-6,D,D※,,"1段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予10F"
"マーダースタンプ

下
 / 22",23F,-12,+5,+11,,
"コンカッションキック

中
 / 20",20F,-9,+2,D※,,
"レチッドハンマー

中
 / 25",22F,+4,D※,浮※,,
