技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"スパイクコンボ&Bスラップコンボ

上,下,上,中
 / 14,10,18,20",,+2S,+5S,D※,,"ガード or ノーマルヒットで強制しゃがみ
S2変更：新技"
"レフトハイ&ライトハイキック

上,上
 / 14,20",,-6,D※,D※,,"Sc
1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予8F
S2変更：スクリュー誘発
カウンターで崩れダウンからきりもみダウンに変更"
"ライトハイキック

上
 / 15",11F,-9,+8,浮,39,
"ライトハイキック&レフトスピンローキック

上,下
 / 15,13",,-14,-3,-3,,"CS
しゃがみ帰着"
"ポイズンスティング

上
 / 14",14F,-2,+4,+4,,
"ポイズンスティング&スピニングハイ

上,上
 / 14,20",,-7,+12K,+12K,,"Sc
1段目から連続ヒット
ディレイ可
S2変更：スクリュー誘発
ヒットでダウンからきりもみやられに変更"
"サーバルニー

中
 / 14",17F,-13,-4,-4,,"発生17Fから空中判定
ジャンプステータスなし
判定持続2F"
"サーバルニー～CJ

中,特殊
 / 14",,-5,+4,+4,,
"サーバルスワット

中,中
 / 14,20",,-11,D※,D※,,"Sc
1段目から連続ヒット
S2変更：新技
(2.10)判定強化"
"シューティングスター

中
 / 28",19F,-14,D,D※,,"JS14F
S2変更：クリーンヒット削除"
"双掌破
ﾖﾐ
 or 立ち途中
中
 / 21",18F,-18,D※,D※,,
"アフロディアスタンプ

中
 / 30",14F,-16,D,D※,,S2変更：(Ver.2.20)ダメージ25→30
"アッパーストレート(1)

中
 / 13",13F,-1,+5,+5,,
"アッパーストレート

中,上
 / 13(12),10",,-3,+2,+9,,"ダメージ()内は立ち途中始動時
1段目から連続ヒット"
"アッパーストレート&サマールシュート

中,上,中
 / 13,10,20",,-12,D※,D※,,"JS
2段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予6F
判定持続1F"
"アッパーストレート&カオスジャッジメント

中,上,特殊
 / 13,10",,-17,-12,-5,,
"アッパーストレート&スライスウインド

中,上,上
 / 13,10,22",,-5,D※,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予10F
判定持続1Fまで確認
S2変更：スクリュー誘発"
"ステップインアッパー

中
 / 16",16F,-12,浮,浮,,判定持続1F
"レフトミドルキック

中
 / 13",14F,-11,+1,+1,,
"レフトミドルキック～横移動
 or 
中,特殊
 / 13",,-12,±0,±0,,横移動中は横移動技のみ先行入力可能
"レフトミドルキック～CJ

中,特殊
 / 13",,-15,-3,-3,,
"フラッシュコンボ(2)

中,上
 / 13,10",,-3,+7,+7,,ディレイ可
"フラッシュコンボ

中,上,上
 / 13,10,6",,-2,+9,+9,,2段目から連続ヒット
"ツイスティングラッシュ(3)

中,上,上
 / 13,10,20",,-3,-3,+2,,2段目から連続ヒット
"ツイスティングラッシュ

中,上,上,上
 / 13,10,20,12",,-4,±0,±0,,"3段目カウンターから連続ヒット
ディレイ可
S2変更：ツイスティングラッシュ&フローズンパドルは削除"
"ツイスティングラッシュ～横移動
 or 
中,上,上,上,特殊
 / 13,10,20,12",,-5,+6,+6,,横移動中は横移動技のみ先行入力可能
"ツイスティングラッシュ&ラウンドキック

中,上,上,上,上
 / 13,10,20,12,20",,±0,D※,D※,,"4段目から連続ヒット
判定持続1F"
"ツイスティングラッシュ&サプライズスコール

中,上,上,上,中
 / 13,10,20,12,22",,-3,D※,D※,,"JS
4段目ガードから発生16F以内で割り込み可
判定持続1F"
"ツイスティングラッシュ&双掌破
ﾖﾐ

中,上,上,上,中
 / 13,10,20,12,21",,-18,D,D※,,4段目から連続ヒット
"クリークアタック

中,上
 / 13,12",,±0,+1,+11,,"1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予9F"
"クリークアタックステップ

中,上,特殊
 / 13,12",,-1,±0,+10,,"掌握ステップ（）に移行
派生技は先行入力可"
"クリークアタック～横移動
 or 
中,上,特殊
 / 13,12",,-1,±0,+10,,横移動中は横移動技のみ先行入力可能
"クリークアタックキャノン(3)

中,上,上
 / 13,12,6",,-3,+4,+4,,"2段目カウンターから連続ヒット
ディレイ幅9F
カウンター確認猶予9F"
"クリークアタックキャノン

中,上,上,上
 / 13,12,6,18",,+7,浮※,浮※,,"3段目カウンターから連続ヒット
S2変更：ガードでひるみ（アンナ側有利）"
"クリークアタックコンボ

中,上,上,下
 / 13,12,6,12",,-13,-2,-2,,"CS
3段目カウンターから連続ヒット
ディレイ可
しゃがみ帰着"
"クリークアタック&レフトハイキック

中,上,上
 / 13,12,15",,-10,+1,+1,,"2段目カウンターから連続ヒット
ディレイ幅9F
カウンター確認猶予9F"
"クリークアタック&ライトハイキック

中,上,上
 / 13,12,22",,-6,D※,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ幅9F
カウンター確認猶予8F
S2変更：スクリュー誘発"
"クリークアタック&レフトローキック

中,上,下
 / 13,12,10",,-14,-3,-3,,"CS
2段目カウンターから連続ヒット
しゃがみ帰着"
"ラピッドストーム(2)

中,上
 / 13,6",,-14,-3,-3,,"1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F"
"ラピッドストーム(3)

中,上,上
 / 13,6,8",,-11,±0,±0,,"1段目から連続ヒット
ディレイ可"
"ラピッドストーム

中,上,上,上
 / 13,6,8,14",,-9,+15,+15,,"3段目カウンターから連続ヒット
ディレイ幅17F
カウンター確認猶予17F"
"ラピッドキックコンボ

中,上,上,上
 / 13,6,8,20",,-6,D※,D※,,"Sc
3段目カウンターから連続ヒット
ディレイ幅17F
カウンター確認猶予6F
S2変更：スクリュー誘発
カウンターで崩れダウンからきりもみダウンに変更"
"レフトミドルキック&ライトハイキック

中,上
 / 13,20",,-6,D※,D※,,"Sc
1段目から連続ヒット
ディレイ可
S2変更：スクリュー誘発
カウンターで崩れダウンからきりもみダウンに変更"
"ライトニングスクリュー

下
 / 14",16F,-16,+5S,D※,,"ノーマルヒットで強制しゃがみ
S2変更：カウンターで強制しゃがみから転ばしうつ伏せダウン（捻り）に変更"
"ガード崩し
ﾖﾐ
 or CJ中J
中
 / 0",16F,+1,+5,+19,45,姿勢潜りあり
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"レイヴキック
 or しゃがみ中
特中,中
 / 5,10",,-11,±0,±0,,"1段目カウンターから連続ヒット
判定持続1F
S2変更：コマンド変更"
"アイシクルエッジ

中
 / 17",16F,-1S,+5S,D※,,S2変更：カウンターで強制しゃがみから叩きつけうつ伏せダウンに変更
"シットスピンキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"シットスピン&ライトアッパー
 or しゃがみ中
下,中
 / 12,10",,-13,浮,浮,,1段目カウンターから連続ヒット
"シットスピン&ライトハイキック
 or しゃがみ中
下,上
 / 12,18",,-6,+5,浮,,1段目カウンターから連続ヒット
"シットスピン&Bスラップ
 or しゃがみ中
下,上,中
 / 12,18,20",,+2S,+5S,D※,,"ガード or ノーマルヒットで強制しゃがみ
S2変更：新技"
"ライトローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"ライトローキック&バックスピンチョップ
 or しゃがみ中
下,上
 / 7(10),10",,±0,+6,+11,,"ダメージ()内はしゃがみ始動時
1段目カウンターから連続ヒット
ディレイ可"
"ライトローキック&バックスピンチョップ～キャンセル横移動
 or しゃがみ中 or 
下,特殊
 / 7(10)",,-15,-4,-4,,横移動中は横移動技のみ先行入力可能
"ライトローキック～CJ
 or しゃがみ中
下,特殊
 / 7(10)",,-10,+1,+1,,"S2変更：新技
(Ver.2.30)カオスジャッジメント移行でジャンプステータスになっていたため、立ち状態に修正。"
"ブラッディーシザース

中段ガード不能
 / 50",60F,D,D※,D※,,
"スカーレットレイン

中
 / 16",16F,-12,+3,+3,,
"スカーレットレイン～しゃがみ

中
 / 16",,-12,+3,+3,,しゃがみ帰着
"スカーレットスパウト

中,中
 / 16,17",,-15,-1,D※,,"1段目から連続ヒット
ディレイ幅17F
カウンター確認猶予13F
判定持続1F
S2変更：ヒットで浮かない
スカーレットリバースは削除"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"フローズンキック
 or しゃがみ中 or しゃがみ中
特中,中
 / 8,10",,-10,+1,+1,,"1段目カウンターから連続ヒット
判定持続1F"
"ランドスリップ

下
 / 21",27F,-17,D※,D※,,"CS6F
しゃがみ帰着"
"セビアクエイク(1)

下
 / 18",25F,-18,-7,-7,,CS6F
"セビアクエイク

下,下
 / 18,14",,-16,-5,D※,,"CS
1段目カウンターから連続ヒット
ディレイ幅13F"
"セビアドロップ

下,中,打撃投げ
 / 18,15",,-20S,打投,打投,,"JS
1段目カウンターから連続ヒット
ディレイ幅13F
ガードで強制しゃがみ
判定持続2F"
"ウィーピングスラップ

中
 / 30",20F,-13,D※,D※,,"Pw8F
S2変更：新技
ハンティングスワンは削除"
"リープスライサー(1)（クリーン）

下
 / 27",24F,-26,-4,-4,,"CS6F
しゃがみ帰着
2段目入力で転ばしダウン"
"リープスライサー(1)

下
 / 18",,-26,-6,-4,,"CS6F
しゃがみ帰着"
"リープスライサー

下,上
 / 27(18),23",,-7,D※,D※,,"JS
非クリーンヒットでもカウンターから連続ヒット"
"クロスカットソー(1)

中
 / 14",18F,-11,±0,±0,,
"クロスカットソー(2)

中,上
 / 14,12",,-12,-1,-1,,"1段目から連続ヒット
持続になりやすい"
"クロスカットソー

中,上,中
 / 14,12,24",,-11,D,D※,,"2段目カウンターから連続ヒット
ディレイ幅15F
カウンター確認猶予4F"
"ビンタ

上
 / 10",15F,-9,+1,+1,,"H
女性キャラのみヒット時、で反撃可能"
"往復ビンタ
ﾖﾐ

上,上
 / 10,20",,-7,D※,D※,,"1段目から連続ヒット
S2変更：ヒットで背面取りから横回転ダウンに変更"
"トゥピックブレード

中
 / 17",20F,-9,+9,D,,"HSc
判定持続1F
S2変更：スクリュー誘発"
