技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ダブルインパクト

中,中
 / 16,21",,-13,D※,D※,,"Sc
1段目カウンターから連続ヒット
ディレイ幅15F
カウンター確認猶予15F"
"ストマックキック

中
 / 13",17F,-10,+2,+2,,
"アンガーラッシュ(2)

中,上
 / 13,7",,+2,+5,+5,,1段目から連続ヒット
"アンガーラッシュ

中,上,上
 / 13,7,10",,-1,+5,+5,,1段目から連続ヒット
"アンガーラッシュ・クラウチング

中,上,上,特殊
 / 13,7,10",,-3,+3,+3,,"クラウチングスタイル派生は先行入力可
しゃがみ or 立ち途中技は先行入力不可&受付が3F遅い
1段目から連続ヒット"
"アンガーラッシュ・クラウチング～キャンセル

中,上,上,特殊
 / 13,7,10",,-2,+4,+4,,"1Fだけキャンセルモーションを見せる必要があるため、以降は先行入力不可
1段目から連続ヒット"
"アンガーラッシュ・ヘッド(4)

中,上,上,中
 / 13,7,10,12",,-16,-5,-5,,ディレイ可
"アンガーラッシュ・ヘッド

中,上,上,中,上
 / 13,7,10,12",,±0S,+4S,+4S,,"4段目から連続ヒット
ディレイ可
ディレイすると連続ヒットしない
ガード or ヒットで強制しゃがみ"
"アンガーラッシュ・スティング

中,上,上,上
 / 13,7,10,12,28",,+4,+6,D※,,ディレイ可
"アンガーラッシュ・ボディ

中,上,中
 / 13,7,13",,-9,+7,+7,,1段目から連続ヒット
"ストマックキックコンボ

中,上
 / 13,28",,±0S,+4S,+4S,,"1段目から連続ヒット
ディレイ可
ディレイすると連続ヒットしない
ガード or ヒットで強制しゃがみ"
"コングラッシュ(2)

中,中
 / 13,10",,-12,浮,浮,,1段目から連続ヒット
"コングラッシュ

中,中,上
 / 13,10,21",,-3S,D※,D※,,"ディレイ可
ガードで強制しゃがみ
S2変更：ヒットでダウン"
"コンプレッサースイング(1)

中
 / 13",13F,-9,+2,+2,41,"判定持続1Fまで確認
持続になりやすい"
"コンプレッサースイング

中,上
 / 13,25",,-5,+12K,D※,,"Sc
1段目から連続ヒット
ディレイ可
S2変更：コンプレッサー削除"
"ヘッドアタックグラインダー

中
 / 23",17F,-11,+3S,+3S,,"CS6F
ヒットで強制しゃがみ
判定持続1F"
"ダンク・エルボー

中
 / 20",18F,±0S,+5S,D※,,ガード or ノーマルヒットで強制しゃがみ
"アリゲーター(1)

中
 / 15",16F,-7S,+7S,+7S,,ガード or ヒットで強制しゃがみ
"アリゲーター

中,中
 / 15,21",,-9,+5,+5,,"1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F"
"ステップインローキック

下
 / 18",16F,-12,-1,-1,,
"ニースライサー

下
 / 16",14F,-16,-5,-5,,"CS6F
下段捌き不可"
"ショルダーインパクト

中
 / 22",19F,-12,浮,浮,,しゃがみステータスなし
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"クローザーストライク

中
 / 20",16F,-8,D※,D＊,,Sc
"ハーストバッシュ(1)

下
 / 10",18F,-12,-4,+4,,
"ハーストバッシュ(2)

下,上
 / 10,16",,-6,+8,D※,,1段目カウンターから連続ヒット
"ハーストバッシュ

下,上,中
 / 10,16,23",,-8,D※,D※,,"Sc
ディレイ可"
"ハーストフェイントクラウチングスタイル

下,上,特殊
 / 10,16",,-20,-6,D※,,"クラウチングスタイル派生は先行入力可
しゃがみ or 立ち途中技は先行入力不可
S2変更：新技"
"ハーストフェイントクラウチングスタイル～キャンセル

下,上,特殊
 / 10,16",,-21,-7,D※,,S2変更：新技
"ハーストトラップキック

下,中
 / 10,16",,-13,+3,+3,,
"ハーストフェイントスピアタックル

下,中投
 / 10,12(10)",,中投,中投,中投,,"遠距離ヒットで投げではなく打撃（特中）に変化
1段目ノーマルヒットから発生16F以内で割り込み可
S2変更：新技"
"レッグシザース

下,打撃投げ
 / 12(,10)",23F,-26,打投,打投,,"近距離ヒットで打撃投げに移行
ダメージ()内は打撃投げ成立の追加ダメージ
遠距離ヒットは転ばしダウン（正面）
発生12Fから空中判定
S2変更：ノーマルヒットでも打撃投げ移行"
"スウェーダブルハンマー

中
 / 23",26F,-22,浮,浮,,
"ナックルハンマー

中
 / 10",21F,-8S,+2S,D※,,ガード or ノーマルヒットで強制しゃがみ
"ダブルナックルハンマー

中,中
 / 10,15",,-14S,D※,D※,,"ガードで強制しゃがみ
S2変更：ノーマルヒットでダウン"
"ローリングバックナックル

中
 / 24",22F,-9,+1,D※,,H
"サスカッチキャノン

中
 / 26",21F,±0,+8,D※,,"S2変更：ノーマルヒットでダウンしなくなった
カウンターの挙動変更"
"クイックバズーカー

中
 / 20",14F,-9,+2,D,,
"ヒールバズーカー

上
 / 30",18F,-14,D※,D※,,"WB
S2変更：旧技復活"
"クレイグキャノン

中段ガード不能
 / 70",80F,D,D※,D※,,入力でキャンセル可
"クレイグキャノンフェイク・クラウチングスタイル

中投
 / 12(10)",100F,中投,中投,中投,,"遠距離ヒットで投げではなく打撃（特中）に変化
S2変更：新技"
