技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ワイルドアッパー

中
 / 13",15F,-14,浮,浮,46,S2変更：ガードバック軽減
"アッパーラッシュR (2)

中,中
 / 13,15",,-6,+5,+5,,しゃがみ帰着
"アッパーラッシュR (3)

中,中,中
 / 13,15,12",,-8,+3,+3,,"しゃがみ帰着
2段目カウンターから連続ヒット"
"アッパーラッシュR･ハイ

中,中,中,上
 / 13,15,12,23",,-4,D※,D※,,"Sc
3段目から連続ヒット
ディレイ可"
"アッパーラッシュR･ミドル

中,中,中,中
 / 13,15,12,15",,-2,+9,+9,,"しゃがみ帰着
3段目から連続ヒット"
"アッパーラッシュR･ロー

中,中,中,下
 / 13,15,12,8",,-11,±0,±0,,"CS
しゃがみ帰着
3段目から連続ヒット
ディレイ可"
"サイドキック

中
 / 16",16F,-9,+2,+2,,
"ダブルコンバイン

中,上
 / 16,20",,-7,D※,D※,,"Sc
1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F"
"フロントキック

中
 / 15",12F,-4,+7,+7,35,
"ユンボ

下下
 / 8,21",18F,-70,D※,D※,,遠い場合2段目が空振り
"タイタンダンプ

中
 / 28",13F,-23,D,D※,,S2変更：ダメージ30→28
"ヘルプレス(打撃)

特中
 / 20",30F,-19S,D※,D※,,"JS15F
近距離＆正面ヒット時は投げ扱い
投げ判定が発生＆投げ不成立の場合は発生34F
ガードで強制しゃがみ
技後ジャック側、頭向けうつぶせダウン
判定持続11Fまで確認"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"シットローキック

下
 / 12",20F,-12,-1,-1,,"CS4F
しゃがみ帰着"
"ローキック

下
 / 10",16F,-9,+2,+2,44,"CS4F
しゃがみ帰着"
"ブラボーナックル

中
 / 28(,5)",30F,-18,浮※,浮※,,"CS6F
ダメージ()内は落下時の追加ダメージ"
"マシンガンナックル(1)

下
 / 13",12F,-12,+2,+2,43,"しゃがみ帰着
S2変更：ガード硬直-11F→-12F
ヒット+3F→+2F
全体硬直42F→43F"
"マシンガンナックル(2)

下,下
 / 13,5",,-12,-1,-1,,"しゃがみ帰着
1段目から連続ヒット
S2変更：ガード硬直-11F→-12F
ヒット±0F→-1F"
"マシンガンナックル(3)

下,下,下
 / 13,5,5",,-12,-1,-1,,"しゃがみ帰着
S2変更：ガード硬直-11F→-12F
ヒット±0F→-1F"
"マシンガンナックル

下,下,下,中
 / 13,5,5,21",,-11,D,D※,,しゃがみ帰着
"アンカーショベル

下
 / 24",22F,-18,+3S,D※,59,"CS6F
ノーマルヒットで強制しゃがみ
S2変更：ヒット±0SF→+3SF"
"アンカーショベル(ホールド)
ホールド
下
 / 30",36F,-29,D※,D※,,CS6F
"コサックコンボ(1)

下
 / 15",21F,-20,-9,-9,,
"コサックコンボ(2)

下,下
 / 15,12",,-16,-5,-5,,1段目カウンターから連続ヒット
"コサックコンボ(3)

下,下,下
 / 15,12,12",,-19,-8,-8,,2段目カウンターから連続ヒット
"コサックコンボ(4)

下,下,下,下
 / 15,12,12,12",,-16,-5,-5,,3段目カウンターから連続ヒット
"コサックコンボ(5)

下,下,下,下,下
 / 15,12,12,12,12",,-19,-8,-8,,4段目カウンターから連続ヒット
"コサックコンボ

下,下,下,下,下,下
 / 15,12,12,12,12,12",,-16,-5,-5,,5段目カウンターから連続ヒット
"ナッツクラッカー
コサック中
上
 / 21",,+14G,D※,D※,,
"ビッグブーツ

下
 / 14",16F,-13,-2,-2,48,"CS6F
しゃがみ帰着"
"ピボットガン

上上上上上
 / 5,3,3,3,20",20F,-4,D※,D※,,
"バックホー

中
 / 17",20F,-8,+5,D※,,"S2変更：ダメージ20→17
ガード硬直-10F→-8F
カウンター+5F→縦回転うつ伏せダウン
判定強化"
"ピボットガン･アサルト

中
 / 27",19F,+5,D※,D※,,
"ピボットガン･アサルト(ホールド)
ホールド
中
 / 55",35F,-7,D※,D※,,S2変更：判定下方強化
"マッドドーザー(1)

中
 / 14",16F,-9,+2,+2,,
"マッドドーザー(2)

中,上
 / 14,13",,-4,+1,+1,,"1段目から連続ヒット
S2変更：判定下方強化"
"マッドドーザー

中,上,上
 / 14,13,20",,-9,D※,D※,,
"マッドドーザー(ホールド)
ホールド
中,上,中
 / 14,13,50",,-8,D※,D※,,
"ニーウェッジ･フルアクセル(1)

中
 / 12",16F,-15,-4,-4,,
"ニーウェッジ･フルアクセル

中,中
 / 12,21",,-8S,D※,D※,,"ガードで強制しゃがみ
1段目カウンターから連続ヒット"
