技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"アリキック(3)
*２
下*3
 / 14,7,7",,-29,+7,+7,,"CS
しゃがみ帰着"
"アリキック（4～5）
*３
下*5
 / 14,7,7,4,3",,-26,+15,+15,,"CS
走りからは不可
1段目カウンター時のみ派生可能
軸ずれで転びダウン
しゃがみ帰着"
"スピニングスマッシュ
アリキック中
～中
 / 10",,-15,D,D,,"CS
アリキック1～3段目から派生"
"フラッシングエルボー

中
 / 25",30F,-8S,±0S,±0S,,"JS21F
ガード or ヒットで強制しゃがみ
判定持続5F"
"脳天唐竹割り
ﾖﾐ

中
 / 21",25F,-5S,D※,D※,,"ガードで強制しゃがみ
S2変更：ヒットバック軽減"
"シットスマッシュ

下
 / 17",23F,-16,+2S,D※,,"CS10F
しゃがみ帰着
ノーマルヒットで強制しゃがみ"
"ロードロップキック

下
 / 20",29F,-20,D※,D＊,,"CS6FJS16F
空振り or ガードでキング側うつ伏せダウン
しゃがみ帰着
判定持続2F"
"スプリントフック

上
 / 13",12F,-8,+3,D※,39,
"スプリントフック～クロスアッパー

上,上
 / 13,20",,-13,+5,+5,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予8F"
"スプリントフック～ニールキック

上,中
 / 13,23",,-9,D※,D※,,"JS
ディレイ可"
"アメリカンジャブ

上
 / 12",14F,-5,+1,+1,38,
"アメリカンジャブ～ヘッドバット

上,上
 / 12,22",,+2S,D※,D※,,"ガードで強制しゃがみ
ディレイ可
S2変更：ヒットバック軽減"
"アメリカンジャブ～トゥーキック～オリンピアスラム

上,中,打撃投げ
 / 12,18(,20)",,-9,打投,打投,,"ダメージ()内は打撃投げ移行時
側面 or 背面ヒット時は+9F
ディレイ可
S2変更：ノーマルヒットでも打撃投げに移行。
(Ver.2.30)空中ヒット時、投げに移行することがあったのを修正。"
"トラースキック

上
 / 31",16F,-10,D※,D※,,
"893･K～背向け
ﾖﾐ

上
 / 25",17F,+2F,D※,D※,,"WB
判定持続3Fまで確認
S2変更：発生15F→17F
ガード硬直-6F→+2F
空中やられ挙動を変更
くの字ダウン→ウォールバウンド
クリーン or 遠距離判定を統一"
