技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"冥鳳翼
ﾖﾐ

中
 / 25",24F,-14,D※,D※,,Pw8F
"瓦割り
ﾖﾐ

中
 / 16",17F,-9,+2,+2,,
"瓦割り～しゃがみ
ﾖﾐ

中
 / 16",17F,-9,+2,+2,,しゃがみ帰着
"瓦割り楔打ち
ﾖﾐ

中,中
 / 16,17",,-9,+6,D※,,"1段目カウンターから連続ヒット
ディレイ幅11F
カウンター確認猶予3F"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"地鎮砕
ﾖﾐ
 or 
中
 / 25",22F,-7S,D※,D※,,"ガードで強制しゃがみ
判定持続1F"
"ローキック
 or 
下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"鬼瓦
ﾖﾐ

ガード不能
 / 50",60F,D,D※,D※,,
"破砕衝
ﾖﾐ

下段ガード不能
 / 0(20)",62F,-3,-3,-3,,"ダウンに地震ヒットで浮き直し
ダメージ()内は本体ダメージ
通常の立ち合いで本体はヒットしない"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"影生門
ﾖﾐ

下
 / 23",23F,-18,+5S,+5S,,"CS8F
しゃがみ帰着
ヒットで強制しゃがみ"
"スイープキック

下
 / 12",15F,-18,-4,-4,,"CS4F
しゃがみ帰着
判定持続1Fまで確認"
"暗撃砕
ﾖﾐ

中中
 / 10,20",21F,-13,+5,+5,,姿勢潜り
"刎頚裏拳(1)
ﾖﾐ

上
 / 14",15F,-11,-5,-5,,H
"刎頚裏拳
ﾖﾐ

上,上
 / 14,20",,-9,+15K,D※,,"Sc
1段目から連続ヒット
ディレイ幅15F
ヒット確認猶予9F"
"刎頚剛掌破
ﾖﾐ
【】
上,中
 / 14,25",,-6,D※,D※,,
"刎頚剛掌破･否
ﾖﾐ
【】 or 
上,特殊
 / 14",,-19,-13,-13,,
"羅生門
ﾖﾐ

中
 / 20",22F,-2,D※,D※,,"WB
S2変更：ノーマルヒット+8F、カウンターで崩れダウン（よろけ）→ウォールバウンド"
"鰐下駄(1)
ﾖﾐ

上
 / 14",14F,-4,+7,+7,,
"鰐下駄
ﾖﾐ

上,中
 / 14,25",,-12S,D※,D※,,"ガードで強制しゃがみ
1段目から連続ヒット"
"真月旋
ﾖﾐ

中
 / 20",18F,-9,D※,D※,46,"HSc
判定持続1Fまで確認"
"剛掌烈破
ﾖﾐ

中
 / 18",19F,-9,+2,+2,,
"剛掌烈破･連
ﾖﾐ

中,中
 / 18,24",,-13,D,D,,"1段目から連続ヒット
ディレイ幅18F
ヒット確認猶予4F"
