技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"月輪
ﾖﾐ

中
 / 21",19F,-11,D※,浮※,,"判定持続1F
S2変更：空中ヒットできりもみ回転→縦回転"
"スイープキック

下
 / 12",16F,-17,-3,-3,,"CS6F
しゃがみ帰着
軸ずれに対して発生15、17Fの判定"
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"双斧(1)
ﾖﾐ

上
 / 12",12F,-9,+2,+2,40,H
"双斧
ﾖﾐ

上,上
 / 12,21",,-5,+8K,+8K,,"Sc
1段目から連続ヒット
ディレイ可
ヒット確認猶予12F
判定持続1F
S2変更：ヒットで横回転ダウン→きりもみやられ"
"凱風(1)
ﾖﾐ

中
 / 22",18F,-5S,+4S,+4S,,ヒット or ガードで強制しゃがみ
"凱風
ﾖﾐ

中,中
 / 22,22",,-12,±0S,浮※,,"1段目カウンターから連続ヒット
ノーマルヒットで強制しゃがみ
ホールドでディレイ可
S2変更：ガード硬直-8F→-12F
ヒット-2SF→±0SF"
"凱風（2段目ホールド）
ﾖﾐ
ホールド
中,中
 / 22,35",,+8,+8S,浮※,,"ノーマルヒットで強制しゃがみ
1段目ガード時、割り込み発生30F以内
1段目ヒット時、割り込み発生21F以内"
"閂剪み
ﾖﾐ

上
 / 16",14F,-6,D※,D※,43,
"出足払い
ﾖﾐ

下
 / 14",20F,-13,+3,+3,,
"撥双打ち
ﾖﾐ

上
 / 28",24F,±0,D※,D※,53,"Pw8F
S2変更：空中やられ挙動を変更"
