技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"劈鐘
ﾖﾐ

中
 / 23",21F,+4S,+9S,D※,51,"ガード or ノーマルヒットで強制しゃがみ
S2変更：ガード硬直+2SF→+4SF
ノーマルヒット+8SF→+9SF
全体硬直52F→51F
空中ヒットでパンチ系叩きつけ（後ろ受身可）"
"シットスピンキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"掃堂提
ﾖﾐ

下
 / 10",16F,-12,-1,-1,,判定持続1F
"掃堂提～上歩撞掌
ﾖﾐ

下,上
 / 10,23",,-5,D※,D＊,,"1段目カウンターから連続ヒット
ヒット時に追加入力でチャージ"
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"冲天掌
ﾖﾐ

上
 / 11",14F,-17,+2,+2,,
"冲天掌～伏虎
ﾖﾐ

上,中
 / 11,17",,-7,+5S,D※,,"ノーマルヒットで強制しゃがみ
連続ヒット
ディレイ可、その場合連続ヒット不可"
"烈火翻脚
ﾖﾐ

上
 / 23",31F,-8,浮※,浮※,,"姿勢潜り（しゃがみステータスなし）
S2変更：判定強化"
"前掃雷王拳(1)
ﾖﾐ

下
 / 12(18)",20F,-31,+2,D※,,"CS10F
ダメージ()内はクリーンヒット時
2段目入力時ノーマルヒットでも転ばしダウン
ガード時2段目派生不可
S2変更：カウンターで転ばし頭向けダウン→転ばしダウン"
"前掃雷王拳
ﾖﾐ

下,中
 / 12(18),27",,-16,D※,D※,,"ダメージ()内はクリーンヒット時
S2変更：ガードバック軽減"
"覇王浙江(1)
ﾖﾐ

中
 / 17",21F,-9,+7,+7,,判定持続1Fまで確認
"覇王浙江
ﾖﾐ

中,中
 / 17,20",,-12,D※,D※,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予15F"
"覇王浙江(1)～仆歩
ﾖﾐ

中,特殊
 / 17",,-12,+4,+4,,
"頂肘
ﾖﾐ

中
 / 17",18F,-12,+1,+1,,S2変更：カウンターで崩れダウン（うつ伏せ）→+1F
"頂肘金鶏独立
ﾖﾐ

中,中,特殊
 / 17,14",,+8,+14G,+14,,"1段目カウンターから連続ヒット
S2変更：1段目カウンターからコンボ"
"五虎出洞(1)
ﾖﾐ

中
 / 11",15F,-11,±0,±0,,
"五虎出洞
ﾖﾐ

中,上
 / 11,11",,-4,+7,+7,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予8F"
"二郎担山
ﾖﾐ

中,中
 / 11,21",,-11S,+8S,D※,,"ガード or ノーマルヒットで強制しゃがみ
1段目から連続ヒット
ディレイ可
ヒット確認猶予3F"
"迎面腿(1)
ﾖﾐ

中
 / 15",14F,-7,+4,+4,40,
"迎面腿
ﾖﾐ

中,中
 / 15,16",,-7,+4,+4,,1段目カウンターから連続ヒット
"迎面腿～退歩金鶏
ﾖﾐ

中,中,特殊
 / 15,16",,-11,±0,±0,,
"迎面腿～仆歩
ﾖﾐ

中,中,特殊
 / 15,16",,-8,+3,+3,,
"龍爪肘底(1)
ﾖﾐ

中
 / 15",18F,-8,+5,+5,,
"龍爪肘底
ﾖﾐ

中,中
 / 15,21",,-9,D,D※,,1段目カウンターから連続ヒット
"挫掌
ﾖﾐ

上下
 / 10,12",19F,-13,+3,+16S,,カウンターで強制しゃがみ
"挫掌(1段目のみ)
ﾖﾐ

上
 / 10",,-15,-4,-4,,
"小架ニ路･両儀肘
ﾖﾐ

ガード不能
 / 60",70F,D,D※,D※,,
