技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"旋風連脚～ダウン
ﾖﾐ
旋風連脚中
中,特殊
 / ",,+9,+12S,+12S,,"ヒットで強制しゃがみ
ダウンから先行入力不可
判定持続2F"
"ハイキック

上
 / 16",12F,-9,+5,浮,40,
"弧流腿～足向け伏寝
ﾖﾐ
【】
中,特殊
 / 25",29F,-16,+4K,+4K,,"ScJS17F
発生はコマンド完成からの値
硬直からの最速発生は30F
左側に持続あり
S2変更：スクリュー誘発
ヒットでダウンからきりもみやられに変更"
"弧流腿～ダウン
ﾖﾐ
【】
中,特殊
 / 25",,-17,+3K,+3K,,"ScJS17F
発生はコマンド完成からの値
硬直からの最速発生は30F
ダウンから先行入力不可"
"巻暫連脚(1)～足向け仰寝
ﾖﾐ
【】 or しゃがみ中【】
下,特殊
 / 7",15F,-15,-4,+6,,"CS6F
発生はコマンド完成からの値
硬直からの最速発生は16F
発生10Fから空中判定"
"巻暫連脚(1)～ダウン
ﾖﾐ
【】 or しゃがみ中【】
下,特殊
 / 7",,-16,-5,+5,,ダウンから先行入力不可
"巻暫連脚(2)～足向け仰寝
ﾖﾐ
【】
下,下,特殊
 / 7,7",,-2,+9,+9,,1段目カウンターから連続ヒット
"巻暫連脚(2)～ダウン
ﾖﾐ
【】
下,下,特殊
 / 7,7",,-3,+8,+8,,"1段目カウンターから連続ヒット
ダウンから先行入力不可"
"巻暫連脚～足向け仰寝
ﾖﾐ
【】
下,下,中,特殊
 / 7,7,24",,-7,浮,浮,,2段目カウンターから連続ヒット
"巻暫連脚～ダウン
ﾖﾐ
【】
下,下,中,特殊
 / 7,7,24",,-13,浮,浮,,"2段目カウンターから連続ヒット
ダウンから先行入力不可"
"転身連咆(1)～背向け
ﾖﾐ

上
 / 16",14F,-7,+2,浮,,
"転身連咆～背向け
ﾖﾐ

上,上
 / 16,12",,-3,+8,+8,,1段目から連続ヒット
"転身崩墜
ﾖﾐ

上,中
 / 16,21",,-10,D※,浮,,
"クロスストレート

上
 / 11",12F,±0,+6,+6,,月牙叉手（）1段目に連係
"吼犬牙喉(1)
ﾖﾐ

中
 / 20",16F,-12,-1,-1,,
"吼犬牙喉
ﾖﾐ

中,上
 / 20,12",,-3,+8,+8,,"1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F"
"吼犬牙突
ﾖﾐ

中,上,中
 / 20,12,12",,-12,浮※,浮※,,"2段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予5F"
"雷光中段脚(1)
ﾖﾐ

上
 / 26",23F,-12,+3,D※,,"CS4F
右側に持続あり"
"雷光中段脚(2)
ﾖﾐ

上,中
 / 26,12",,±0,+6,+6,,
"雷光中段脚(3)
ﾖﾐ

上,中,中
 / 26,12,12",,-12,-1,-1,,"2段目から連続ヒット
ディレイ幅9F
ヒット確認猶予9F"
"雷光中段脚(4)
ﾖﾐ

上,中,中,中
 / 26,12,12,8",,-12,-1,-1,,"3段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予15F"
"雷光中段脚
ﾖﾐ

上,中,中,中,中
 / 26,12,12,8,12",,-9,D,D,,"4段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予9F"
"雷光中段脚～鶴の構え
ﾖﾐ
 or 
上,中,中,中,中,特殊
 / 26,12,12,8,12",,-11,D,D,,
"雷光下段脚
ﾖﾐ

上,中,中,中,下
 / 26,12,12,8,12",,-17,-6,D※,,"4段目カウンターから連続ヒット
ディレイ不可"
"蛇双拳
ﾖﾐ

上上
 / 13,10",16F,+4,+9,+9,,ヒットでのけぞりやられ（やられ側入力でダウン選択可）
"蛇双拳～豹の構え
ﾖﾐ

上上,特殊
 / 13,10",,-5,±0,±0,,"ヒットでのけぞりやられ（やられ側入力でダウン選択可）
S2変更：コマンド変更
鶴の構え移行が削除"
"韓湘手(1)
ﾖﾐ

中
 / 13",13F,-4,+7,+7,36,判定持続1F
"韓湘手(2)
ﾖﾐ

中,上
 / 13,12",,-9,+2,+2,,"1段目から連続ヒット
S2変更：ジャスト入力2段目中段は削除"
"韓湘手
ﾖﾐ

中,上,中
 / 13,12,21",,-10,D,D※,,"2段目カウンターから連続ヒット
ディレイ幅13F
カウンター確認猶予8F"
"顎戈
ﾖﾐ

中
 / 12",15F,-7,浮,浮,41,しゃがみノーマルヒットは浮かない（+4AF）
"顎戈～蛇の構え
ﾖﾐ

中,特殊
 / 12",,-9,浮,浮,,しゃがみノーマルヒットは浮かない（+2AF）
"偃月脚
ﾖﾐ

中
 / 27",21F,-10,D,D※,,H
"フロントキック

中
 / 15",12F,-4,+7,+7,35,
"白虎牙
ﾖﾐ

中
 / 21",17F,-7S,-4S,-4S,,"ガード or ヒットで強制しゃがみ
しゃがみ帰着"
"白虎牙～虎の構え
ﾖﾐ

中,特殊
 / 21",,±0S,+3S,+3S,,ガード or ヒットで強制しゃがみ
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"鉄鎖杖
ﾖﾐ

中
 / 18",18F,-3S,+4S,+4S,,ガード or ヒットで強制しゃがみ
"連環鉄鎖
ﾖﾐ

中,中
 / 18,21",,-10,D,D※,,"1段目カウンターから連続ヒット
ディレイ幅11F
カウンター確認猶予11F
S2変更：ノーマルヒットでダウン"
"サイドローキック

下
 / 15",16F,-14,-3,-3,,
"ローキック

下
 / 10",12F,-12,±0,±0,,
"ローキック～蛇の構え
ﾖﾐ

下,特殊
 / 10",,-13,-1,-1,,
"方天連撃
ﾖﾐ

下,中
 / 10,15",,-15,-2,-2,,1段目カウンターから連続ヒット
"方天連撃～酔歩
ﾖﾐ

下,中,特殊
 / 10,15",,-29,-16,-16,,1段目カウンターから連続ヒット
"蛇巻鋭牙～開蛇身
ﾖﾐ

下,特殊
 / 14",22F,-3,+8,+12S,,"CS6F
カウンターで強制しゃがみ
開蛇身（足向け仰寝中）に連係
判定持続1F"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,CS4F
"スイープキック

下
 / 12",16F,-17,-3,-3,,CS4F
"後掃腿（クリーン）
ﾖﾐ

下
 / 15",20F,-26,D※,D※,,"CS11F
2段目入力時は転ばし回転ダウン
右側に持続あり
S2変更：(Ver.2.20)ダメージ12→15"
"後掃腿
ﾖﾐ

下
 / 10",,-26,-4S,-4S,60,"CS11F
ヒットで強制しゃがみ
2段目入力時は転ばし回転ダウン
S2変更：(Ver.2.20)ダメージ8→10"
"後掃燕舞
ﾖﾐ

下,上
 / 8,30",,-9,D,D,,"JS
2段目入力で距離に関係なく1段目ダメージは8になる
持続があるためガード硬直はおおよそ-9～-11Fの範囲
持続になりやすい"
"後掃腿（クリーン）～蛇の構え
ﾖﾐ
 or 
下,特殊
 / 15",,-26,D※,D※,,"CS11F
ガード時は構え移行不可"
"後掃腿～蛇の構え
ﾖﾐ
 or 
下,特殊
 / 10",,-26,+8S,+8S,,"CS11F
ヒットで強制しゃがみ"
"後掃腿（クリーン）～酔歩
ﾖﾐ

下,特殊
 / 15",,-26,D※,D※,,CS11F
"後掃腿～酔歩
ﾖﾐ

下,特殊
 / 10",,-26,+6S,+6S,,"CS11F
ヒットで強制しゃがみ
発生40Fから立ちガード可"
"胡蝶掌
ﾖﾐ

中
 / 26",28F,-12,D※,D※,,
"地遁腿～足向け伏寝
ﾖﾐ

中,特殊
 / 22",19F,-21,D※,D※,,JS12F
"地遁腿～ダウン
ﾖﾐ

中,特殊
 / 22",,-23,D※,D※,,JS
"虚環脚(1)
ﾖﾐ

上
 / 25",14F,-14,-4,-2,47,"Sc
虚環脚(1)（）と同じ派生が可能
S2変更：スクリュー誘発"
"行龍把
ﾖﾐ

中
 / 15",17F,-7,+4,+4,,"姿勢潜り
しゃがみ帰着"
"行龍把～龍の構え
ﾖﾐ

中,特殊
 / 15",,-9,+2,+2,,
"行龍跳腿
ﾖﾐ

中,上
 / 15,23",,-9,D※,D＊,,"ScJS
1段目から連続ヒット
ディレイ幅13F
ヒット確認猶予6F
S2変更：新技"
"踏葫蘆肘(1)
ﾖﾐ

下
 / 17",23F,-12,-1S,+3,,ノーマルヒットで強制しゃがみ
"踏葫蘆肘(1)～背向け
ﾖﾐ

下,特殊
 / 17",,-6,+5S,+9,,ノーマルヒットで強制しゃがみ
"踏葫蘆肘
ﾖﾐ

下,上
 / 17,23",,-10,D※,D※,,"Sc
1段目カウンターから連続ヒット
ディレイ幅8F
カウンター確認猶予8F
S2変更：スクリュー誘発"
"石頭
ﾖﾐ

中
 / 25",26F,-2,+6,+29G,,"CS4F
判定持続4F"
