技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"クレイジーナックルコンボ～ゴリアテ

中,中,特殊
 / 17,20",,-25,D※,D※,,ガードのフレームは2歩派生に対しての値
"クレイジーナックルコンボ～ゴリアテ（派生なし）

中,中,特殊
 / 17,20",,-53,D※,D※,,S2変更：ギガース側硬直9F減
"クレイジーナックルコンボ（ホールド）
ホールド
中,中
 / 17,40",,+15G,D※,D※,,S2変更：(Ver.2.20)ヒットバック軽減
"クレイジーナックルコンボ（ホールド）～ゴリアテ
ホールド
中,中,特殊
 / 17,40",,+20G,D※,D※,,ガードのフレームは2歩派生に対しての値
"クレイジーナックルコンボ（ホールド）～ゴリアテ（派生なし）
ホールド
中,中,特殊
 / 17,40",,-8,D※,D※,,S2変更：ギガース側硬直9F減
"バーリングリーマー

中
 / 20",24F,-14,D※,D※,,S2変更：(Ver.2.20)ヒットバック軽減
"バーリングリーマー～ゴリアテ

中,特殊
 / 20",,-26,D※,D※,,"S2変更：ギガース側硬直9F減
（ゴリアテ～派生なしの全体硬直？）"
"バーリングリーマー～ゴリアテ（派生なし）

中,特殊
 / 20",,-54,D※,D※,,"ガードのフレームは2歩派生に対しての値
S2変更：ギガース側硬直9F減"
"バーリングリーマー（ホールド）
ホールド
中
 / 40",43F,+26G,D※,D※,,S2変更：(Ver.2.20)ヒットバック軽減
"バーリングリーマー（ホールド）～ゴリアテ
ホールド～
中,特殊
 / 40",,+20G,D※,D※,,ガードのフレームは2歩派生に対しての値
"バーリングリーマー（ホールド）～ゴリアテ（派生なし）
ホールド～
中,特殊
 / 40",,-8,D※,D※,,S2変更：ギガース側硬直9F減
"クイックヘッダー

上
 / 20",13F,-9,+6S,打投,41,"ノーマルヒットで強制しゃがみ
カウンター時、ギルドーザー（打撃投げ）に派生
S2変更：ダメージ15→20
ガード硬直-10F→-9F
ノーマルヒット+5SF→+6SF
全体硬直42F→41F"
"ギルドーザー
カウンター
上,打撃投げ
 / 20,10*4",,,±0,,,壁到達時はヒット数減＆壁やられ強
"ハザードフック

中
 / 14",14F,-6,+7,+7,39,"S2変更：ダメージ17→14
ガード硬直-6F→-9F
ガードバック軽減
ヒット+7F→+4F
全体硬直39F→42F
判定強化
（Ver.2.02） フレームが戻った"
"ボディブロー

中
 / 15",15F,-7,+6,+6,41,"S2変更：ダメージ14→15
ガードバック軽減
ヒットバック増大
(2.10)判定強化"
"ダブルフック･リアクター

中,中
 / 14,21",,-13,D※,D※,,"Sc
1段目カウンターから連続ヒット
ディレイ可
カウンターヒット確認猶予14F"
"ストマックキック

中
 / 11",13F,-9,+4,+4,44,
"ネイルガンストレート

中,上
 / 11,12",,-4,+4,+10,,"1段目から連続ヒット
S2変更：連続ヒット"
"ヴァイスグリップハンマーラッシュ(2)

中,中
 / 11,20",,-16,D※,D※,,1段目カウンターから連続ヒット
"ヴァイスグリップハンマーラッシュ

中,中,上
 / 11,20,20",,-1,D※,D※,,ディレイ可
"ガンタッカー(1)

中
 / 12",14F,-3,+3,+8,41,
"ガンタッカー

中,中
 / 12,30",,+1S,+5S,+5S,,"ガード or ヒットで強制しゃがみ
1段目ガードから発生11F以内で割り込み可能
判定持続1F"
"エクスカベイター(2)

中中
 / 13,13",25F,-20,-9S,D,,ノーマルヒットで強制しゃがみ
"エクスカベイター

中中,中
 / 13,13,20",,-18S,D※,D※,,"ガードで強制しゃがみ
ディレイ可"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着
S2変更：判定強化"
"グランドハンマー

中
 / 13",15F,-14,浮※,浮※,,S2変更：(Ver.2.20)判定持続を1F増やした
"ステップインローキック

下
 / 15",16F,-12,-1,-1,,S2変更：ダメージ18→15
"イグニションコイル

下,中
 / 15,20",,-12S,±0S,D※,,"ガード or ノーマルヒットで強制しゃがみ
1段目カウンターから連続ヒット
ディレイ可
カウンターヒット確認猶予6F
S2変更：ダメージ17→20
ガード硬直-10SF→-12SF
カウンターでうつ伏せダウン→叩きつけうつ伏せダウン"
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"リペルガスト

中
 / 30",30F,-13,D※,D※,,"WBPw8F
S2変更：ガードバック軽減
ヒットでダウン→ウォールバウンド
ヒット時のギガース側硬直減"
"アングリーハウリング

特殊
 / ",,,,,30,"Pw6～59F
成立時は全体硬直45F
被ダメージ1/2
31～59Fはニュートラルでパワークラッシュ維持
ニュートラルでパワクラ成立時、硬直15F"
"エンドミル

下
 / 20",23F,-14,+3,D※,,"CS6F
判定持続1F
S2変更：ガードバック軽減"
"シンブレイカー

下
 / 16",21F,-28,+6,+6,,"CS6F
しゃがみ帰着"
"スウェッジキック

下
 / 8",14F,-13,-2,+3,,"CS4F
しゃがみ帰着"
"アップセッター

中
 / 35",29F,-8,D※,D※,,S2変更：ヒットでのけぞり浮き→頭叩きつけダウン
"フラクチャーアッパー

中
 / 20",20F,-15,浮,浮,,"S2変更：ダメージ15→20
空中ヒットで縦回転やられ
ダウンヒットで鐘楼やられ
ヒットバック軽減"
"クレイジーナックル

中
 / 20",20F,-13,D※,D※,,S2変更：(Ver.2.20)ヒットバック軽減
"クレイジーナックル～ゴリアテ

中,特殊
 / 20",20F,-25,D※,D※,,ガードのフレームは2歩派生に対しての値
"クレイジーナックル～ゴリアテ（派生なし）

中,特殊
 / 20",20F,-53,D※,D※,,S2変更：ギガース側硬直9F減
"クレイジーナックル（ホールド）
ホールド
中
 / 40",41F,+15G,D※,D※,,
"クレイジーナックル（ホールド）～ゴリアテ
ホールド
中,特殊
 / 40",41F,+20G,D※,D※,,ガードのフレームは2歩派生に対しての値
"クレイジーナックル（ホールド）～ゴリアテ（派生なし）
ホールド
中,特殊
 / 40",41F,-8,D※,D※,,S2変更：ギガース側硬直9F減
"デッドリーキャノン

中
 / 26",21F,-9,D※,D※,,判定持続2F
"ヘビィストンプ

中
 / 20",20F,-9S,+1S,D※,,"ガード or ノーマルヒットで強制しゃがみ
ダウンにヒットで特殊やられ"
"クリミナルタッカー

中
 / 30",25F,+1S,+5S,+5S,,"ガード or ヒットで強制しゃがみ
判定持続1F"
