技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"アースバッテリー

下
 / 25",24F,-20,D※,D※,,"CS20F
しゃがみ帰着
判定持続1F"
"アークコンビネーション(1)

下
 / 9",17F,-12,-1,-1,,"CS6F
しゃがみ帰着"
"アークコンビネーション

下,上
 / 9,10",,-12,-1,-1,,1段目から連続ヒット
"アークコンビネーション～しゃがみ

下,上
 / 9,10",,-12,-1,-1,,"1段目から連続ヒット
しゃがみ帰着"
"ビードショット

中
 / 12",15F,-8,+3,+3,,
"ビードショット～SE

中,特殊
 / 12",,-5,+6,+6,,
"ウィービングビード

中,中
 / 12,8",,-8,+6,+6,,1段目から連続ヒット
"ストレートビード

中,中
 / 12,15",,-13,±0,+23G,,1段目から連続ヒット
"ストレートビード（最大ホールド）
ホールド
中,中
 / 12,25",,+8,D※,D※,,
"シットスピンキック

下
 / 12",16F,-17,-3,-3,,"CS4F
しゃがみ帰着"
"シャドウカッター

下
 / 17",21F,-26,+5S,D※,52,"CS6F
しゃがみ帰着、ガードで立ち
ノーマルヒットで強制しゃがみ"
"イマジナリーナンバー

中
 / 18",26F,-14,+5,D※,,
"シェブロンスラッシュ

中
 / 17",15F,-9,+4,D※,,"HSc
S2変更：カウンター+6F→うつ伏せ吹き飛びダウン"
"ギルバートスマッシュ(1)

中
 / 12",16F,-7,+4,+4,,
"ギルバートスマッシュ

中,中
 / 12,17",,-10,+3,D※,,"1段目から連続ヒット
ディレイ幅15F
ヒット確認猶予15F"
"ギルバートキャノン

中,上
 / 12,21",,-8,D※,D※,,1段目から連続ヒット
"インパルスキック

中
 / 14",17F,-12,+4,+4,,
"インパルスキック～SE

中,特殊
 / 14",,-5,+11,+11,,
"インパルスプラス

中,上
 / 14,20",,-8,D※,D※,,"Sc
1段目から連続ヒット
S2変更：ガード硬直-12F→-8F
ラース側ヒット硬直軽減
スクリュー誘発
判定下方強化"
"マグネティック･ニー

中(,打投)
 / 23(,23)",15F,-8,+8,打投,47,"カウンター時、マグネティック・ニー・ブラストに派生
ダメージ()内は打撃投げの追加ダメージ
S2変更：判定下方強化"
"ウインドライガー

中中
 / 8,20",21F,-11,+6K,+6K,,HSc
"ゼウス

ガード不能
 / 45",84F,浮,浮※,浮※,,
