技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"左中段回し蹴り
ﾖﾐ

中
 / 16",12F,-8,+3,+3,,
"縦蹴り
ﾖﾐ
【】
中
 / 20",23F,+6,D※,D※,,"先行入力不可
発生の値はコマンド完成から
硬直からの最速発生24F"
"縦蹴り～左足刀
ﾖﾐ
【】
中,中
 / 20,20",,-14,D,D,,ディレイ可
"右中段前蹴り
ﾖﾐ

中
 / 21",16F,-8,+4,D※,49,
"右中段前蹴り～前心
ﾖﾐ

中,特殊
 / 21",,-1,+11,D※,,
"正拳二段突き
ﾖﾐ

上上
 / 14,24",14F,-9,D,D,,
"左中段直突き
ﾖﾐ

中
 / 10",13F,-3,+4,+6,34,
"左中段直突き～上段回し蹴り
ﾖﾐ

中,上
 / 10,18",,-9,+10K,D※,,"Sc
1段目から連続ヒット
ディレイ可
ヒット確認猶予7F
カウンター確認猶予9F"
"左中段直突き～中段足刀
ﾖﾐ
【】
中,中
 / 10,24",,-12,D※,D※,,"S2変更：ガード硬直-11F→-12F
ガード・ヒットバック軽減"
"右突き上げ
ﾖﾐ

中
 / 15",15F,-7,+4,浮,41,判定持続1F
"左足刀
ﾖﾐ

中
 / 12",14F,-16,-5,-5,,
"左足刀～左縦蹴り
ﾖﾐ

中,上
 / 12,14",,-8,+8,+8,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予10F"
"左足刀～左縦蹴り～前心
ﾖﾐ

中,上,特殊
 / 12,14",,-7,+9,+9,,前心（）に派生
"左足刀～左縦蹴り･潜
ﾖﾐ

中,上,特殊
 / 12,14",,-8,+8,+8,,
"後ろ回し右踵落とし
ﾖﾐ

中
 / 20",20F,-3,+8S,浮※,42,ノーマルヒットで強制しゃがみ
"水月突
ﾖﾐ

Ｐ捌き,中
 / 20",23F,-12,+6,+6,,"上中段パンチ捌き受付、発生3～12F
捌き成功時は頭叩きつけダウン"
"骸打ち
ﾖﾐ

中
 / 24",21F,-7,D※,D※,,"WB
S2変更：吹き飛びダウン→ウォールバウンド誘発
しゃがみステータス削除"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"左関節蹴り
ﾖﾐ

下
 / 7",15F,-13,-2,-2,,
"左関節蹴り～左足刀
ﾖﾐ

下,中
 / 7,10",,-16,-1,-1,,1段目から連続ヒット
"右下段後ろ回し蹴り
ﾖﾐ

下
 / 13",16F,-12,-1,-1,,"CS6F
S2変更：ガード硬直-13F→-12F
ヒット-2F→-1F"
"飛び二段蹴り
ﾖﾐ

中中
 / 5,20",15F,-19,浮,浮,,1段目後にジャンプステータスあり
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"転掌絶刀(1)
ﾖﾐ

中
 / 12",16F,-10,-4,D※,,よろけ回復時、仁側3F有利
"転掌絶刀(2)
ﾖﾐ

中,上
 / 12,11",,-12,-7,-7,,1段目から連続ヒット
"転掌絶刀
ﾖﾐ

中,上,中
 / 12,11,21",,-9,D※,D※,,"ディレイ可
ガードから発生9F以内で割り込み可能"
"転掌瀑布
ﾖﾐ

中,中
 / 12,23",,-8,D※,D※,,
"左上段後ろ回し蹴り
ﾖﾐ

上
 / 28",20F,-12,D※,D※,,"ScCS4F
発生19Fは軸ずれ時"
"右下段回し蹴り
ﾖﾐ

下
 / 18",20F,-13,+3,D※,,
"三戦立ち
ﾖﾐ

中(特殊)
 / 0",25F,-25,-10,-10,81,"技後チャージ状態
ヒット時はチャージ不成立
判定持続30Fまで確認
技後、先行入力不可"
"蠢魔刹(1)
ﾖﾐ

中
 / 12",15F,-11,±0,±0,,
"蠢魔刹
ﾖﾐ

中,中
 / 12,10",,-9,+2,+2,,"1段目から連続ヒット
ディレイ可
カウンター確認猶予13F"
"左膝蹴り
ﾖﾐ

中
 / 17",16F,-6,+5,D※,41,
"左膝蹴り～前心
ﾖﾐ

中,特殊
 / 17",15F,-2,+9,D※,,"前心（）に派生
派生なしより発生が早くなる"
"後ろ蹴り
ﾖﾐ

中
 / 21",17F,-7,D※,D※,47,
