技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ペックスラップ～ハリアー

中,上,特殊
 / 13,8",,-1,+10,+10,,"1段目から連続ヒット
S2変更：カタリーナ側の硬直延長"
"ネストブレイク(1)

中
 / 17",17F,-7,+4,+4,,"S2変更：ヒット時の挙動を変更？
ヒットバック軽減"
"ネストブレイク

中,中
 / 17,21",,-10,D※,D※,,"1段目から連続ヒット
S2変更：ガードバック軽減"
"コロニーブレイク

中,上
 / 17,17",,+1,+18K,+18K,,"Sc
1段目から連続ヒット"
"ワグテイル(1)

中
 / 15",15F,-6,+2,+2,,"S2変更：ガード硬直-9F→-6F
ヒット-1F→+2F"
"ワグテイル

中,下
 / 15,24",,-21,D※,D※,,"CS
1段目カウンターから連続ヒット
S2変更：ガード硬直-19F→-21F"
"ワグテイル～キャンセル

中
 / 15",,-17,-9,-9,54,"しゃがみ帰着
S2変更：全体硬直57F→54F"
"グレイターレア

中
 / 17",15F,-9,+2,D※,43,
"トゥカーノテイル

下
 / 21",25F,-14,+2S,D※,,"CS6F
しゃがみ帰着
ノーマルヒットで強制しゃがみ
S2変更：ガード硬直-16F→-14F
ノーマルヒットで&plusmn0SF→+2SF"
"フェザーチョップ

中
 / 20",17F,-7S,+3S,D※,,ガードで強制しゃがみ
"パイネイラ

中
 / 18",20F,-11,±0,D※,,
"パイネイラ～ハリアー

中,特殊
 / 18",20F,+3,+14G,D※,,S2変更：ハリアーの持続延長
"ターサス･ベリースラスト(1)

下
 / 12",16F,-11,±0,±0,,S2変更：ガードバック軽減
"ターサス･ベリースラスト

下,中
 / 12,18",,-13,±0,±0,,"1段目カウンターから連続ヒット
S2変更：ガードバック軽減"
"ターサス･ネックスラスト

下,上
 / 12,18",,-4,+6,D※,,"1段目カウンターから連続ヒット
S2変更：ヒットバック増加
カウンターで+6F→くの字ダウン"
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"スライドシュート

下
 / 24",25F,-26,D※,D※,,CS6F
"スリッピングテイル

下
 / 24",29F,-26,D※,D※,,HCS6F
"エクリプス

中段ガード不能
 / 60",68F,D,D※,D※,,JS53F
"ペックイン

中
 / 13",14F,-9,+2,+2,,
"ペックイン～ハリアー

中,特殊
 / 13",14F,+3,+14G,+14G,,S2変更：ハリアーの持続延長
"ペックアップ

中,中
 / 13,20",,-12,D※,D※,,"1段目カウンターから連続ヒット
S2変更：ダメージ15→20
ガード硬直-8F→-12F
ヒット+3F→縦回転ダウン（2回転）"
"ペックスピア

中,中
 / 13,10",,-8,+5,+5,,1段目から連続ヒット
"ヴァルチャークロー

中
 / 18",27F,-16,浮,浮,,"CS10F
S2変更：ガード硬直-13F→-16F
ヒットバック軽減
しゃがみステータス"
"ククースラスト

中
 / 15",12F,-9,+2,+7,,
"ウッドペッカー(1)

中
 / 17",17F,-15,+8,D※,51,S2変更：ガードバック軽減
"ウッドペッカー

中,上
 / 17,20",,+1S,D※,D※,,"1段目から連続ヒット
ガードで強制しゃがみ
S2変更：ガード硬直-12SF→+1SF
ヒット時のカタリーナ側硬直減"
"ピーコック

中,中中
 / 17,3,17",,-12S,D※,D※,,"ガードで強制しゃがみ
3段目のみヒットでうつ伏せダウン
S2変更：新技"
"ルースコロニー

中中
 / 10,20",23F,-14,D,D,,"姿勢潜り、しゃがみステータスなし
2段目のみカウンターで転がり吹き飛びダウン
S2変更：ガード硬直-17F→-14F"
