技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ダックインレフトフック

中,上
 / 11,12",,-5,-1,-1,,"1段目から連続ヒット
ディレイ幅17F
ヒット確認猶予7F"
"ダックインレフトフック～PKB

中,上,特殊
 / 11,12",,±0,+4,+4,,
"ダックインレフトフック～FLC

中,上,特殊
 / 11,12",,+1,+5,+5,,
"ダックインバーティカルエッジ
【】
中,中
 / 11,20",,-9,D※,D※,,"S2変更：ダメージ17→20
ガード硬直-5F→-9F
スティーブ側のヒット硬直延長
ノーマルヒット+6F、カウンター+31GF（尻餅やられ）→頭叩きつけダウン"
"ショットガンコンビネーション(2)

中上
 / 10,12",15F,-14,-3,-3,,S2変更：ヒットバック軽減でヒットしやすくなった
"ショットガンコンビネーション

中上,中
 / 10,12,20",,-13,D※,D※,,"1段目から連続ヒット
S2変更：ヒットバック軽減"
"アッパー

中
 / 12",13F,-2,+5,+5,,判定持続1F
"アッパー～各種構え
～
中,特殊
 / 12",,-7,±0,±0,,"WL移行（）
WR移行（）
SW移行（ or ）"
"アッパー～DUK
 or 
中,特殊
 / 12",,-5,+2,+2,,移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い
"アッパーストレート

中,上
 / 12,13",,-6,+3,+5,,1段目から連続ヒット
"アッパーストレート～キャンセル各種構え
【～】
中,特殊
 / 12",,-16,-9,-9,,"WL移行（）
WR移行（）
SW移行（ or ）"
"アッパーストレート～キャンセルDUK
【 or 】
中,特殊
 / 12",,-14,-7,-7,,移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い
"フェイントレフトフックコンビネーション
【】
中,上
 / 12,20",,-2,+2,D※,,
"フェイントレフトフック～FLC
【】
中,上,特殊
 / 12,20",,±0,+4,D※,,
"バーティカルエッジコンボ
【】
中,中
 / 12,20",,-9,D※,D※,,"S2変更：ダメージ17→20
ガード硬直-5F→-9F
スティーブ側のヒット硬直延長
ノーマルヒット+6F、カウンター+31GF（尻餅やられ）→頭叩きつけダウン"
"フェイントワンツーコンビネーション
【】
中,上上
 / 12,8,12",,-3,±0,+3,,3段目のみカウンターヒットで+3F
"フェイントワンツーコンビネーション～各種構え
【】～
中,上上,特殊
 / 12,8,12",,-4,-1,+2,,"WL移行（）
WR移行（）
SW移行（ or ）"
"フェイントワンツーコンビネーション～DUK
【】 or 
中,上上,特殊
 / 12,8,12",,-2,+1,+4,,移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い
"クレッシェントフック

中
 / 18",16F,-11,+6,D※,47,H
"クレッシェントフック～各種構え
～
中,特殊
 / 18",,-7,+10,D※,,"H
WL移行（）
WR移行（）
SW移行（ or ）"
"クレッシェントフック～DUK
 or 
中,特殊
 / 18",,-2,+15G,D※,,"H
移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い"
"クレッシェントフック～DUKキャンセル
 or 
中,特殊
 / 18",,-6,+11G,D※,42,"H
しゃがみ帰着"
"ソニックファング

中中
 / 14,21",14F,-12,D※,D※,,"1段目のみガードで-23F
1段目のみヒットで叩きつけダウン"
"ニーボルトブロー

下
 / 14",16F,-13,±0,±0,,"CS6F
しゃがみ帰着"
"イーグルクロウコンビネーション１(1)

下
 / 13",17F,-18,-5,-5,,CS6F
"イーグルクロウコンビネーション１(2)

下,中
 / 13,8",,-11,-5,±0,,"1段目カウンターから連続ヒット
ディレイ幅13F
カウンター確認猶予13F"
"イーグルクロウコンビネーション１(2)～各種構え
～
下,中,特殊
 / 13,8",,-6,±0,+5,,"WL移行（）
WR移行（）
SW移行（ or ）"
"イーグルクロウコンビネーション１(2)～DUK
 or 
下,中,特殊
 / 13,8",,-4,+2,+7,,移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い
"イーグルクロウコンビネーション１

下,中,上
 / 13,8,17",,-2,D※,D＊,,"2段目カウンターから連続ヒット
ディレイ可"
"イーグルクロウコンビネーション２(1)
【☆】
中
 / 15",29F,-4,+7,+7,,発生の値はコマンド入力開始から
"イーグルクロウコンビネーション2(1)～各種構え
【☆】～
中,特殊
 / 15",,-6,+5,+5,,"WL移行（）
WR移行（）
SW移行（ or ）"
"イーグルクロウコンビネーション2(1)～DUK
【☆】 or 
中,特殊
 / 15",,-4,+7,+7,,移行後、シーイーグルフック（DUK中）のみ先行入力発生が2F早い
"フェイントクロウ
【☆】
中,中
 / 15,20",,-13,+3S,D※,,"1段目から連続ヒット
ディレイ幅11F
ヒット確認猶予11F
ノーマルヒットで強制しゃがみ"
"イーグルクロウコンビネーション２
【☆】
中,上
 / 15,17",,-2,D※,D＊,,"1段目から連続ヒット
ディレイ幅11F
ヒット確認猶予6F"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"カッティングフック
 or しゃがみ中
下
 / 21",26F,-12,+1S,D※,,"CS6F
ノーマルヒットで強制しゃがみ"
"カッティングフック～しゃがみ
 or 
下
 / 21",26F,-12,+1S,D※,,"CS6F
ノーマルヒットで強制しゃがみ
しゃがみ帰着"
"ストンピング

下
 / 10",16F,-15,+1,+1,,
"ダーティースマッシュ

下,上
 / 10,16",,-7,D※,D※,,1段目から連続ヒット
"ハートブレイクショット

中
 / 21",36F,-18,+24,+24,,Pw8F
"クイックフック

上
 / 17",13F,-14,+2,D※,43,
"クイックフック～FLC

上,特殊
 / 17",,-1,+10,D※,,
"クイックフック～FLCキャンセル

上,特殊
 / 17",,-2,+9,D※,31,
"クイックフックコンビネーション

上,上
 / 17,9",,-5,+19K,+19K,,"Sc
1段目から連続ヒット
ディレイ幅9F
ヒット確認猶予9F
S2変更：新技
クイックフックワンツーは削除"
"クイックフックコンビネーション～PKB

上,上,特殊
 / 17,9",,-5,+19K,+19K,,"Sc
1段目から連続ヒット
ディレイ幅9F
ヒット確認猶予9F
S2変更：新技
クイックフックワンツーは削除"
"フリゲート

上,下
 / 17,10",,-11,±0,±0,,"CS
1段目から連続ヒット
ディレイ幅9F"
"フリゲート～PKB

上,下,特殊
 / 17,10",,-9,+2,+2,,"CS
1段目から連続ヒット
ディレイ幅9F"
"フリゲートラッシュ

上,下,中
 / 17,10,20",,-9,D※,D※,,2段目カウンターから連続ヒット
"スリムボム

中
 / 20",17F,-13,D※,D※,,
