技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"サークルワッパー(1)

上
 / 12",12F,-8,+3,+3,,
"サークルワッパー

上,中
 / 12,20",,-15,D,D,,"1段目から連続ヒット
ディレイ幅10F
ヒット確認猶予10F"
"メルゲーズキックコンボ(1)

中
 / 18",21F,-4,±0S,+8S,,"ヒットで強制しゃがみ
判定持続3Fまで確認"
"メルゲーズキックコンボ

中,中
 / 18,23",,-11,D,D※,,"1段目カウンターから連続ヒット
ディレイ幅7F"
"スピニングリングイネ

上
 / 20(,21)",16F,-6,D※,打投,50,"HSc
ダメージ()内は打撃投げ成立時"
"ギガジャッカー

中
 / 25",15F,-13,D,D,,"Pw8F
判定持続2Fまで確認"
"ステップインアッパー

中
 / 13",14F,-3,+5,+5,,
"エスカロップエルボー

中,中
 / 13,15",,-12,+4,+4,,"1段目から連続ヒット
ディレイ幅11F
カウンター確認猶予8F
S2変更：ヒット+1F→+4F"
"スラッシュダルヌ

中
 / 14",15F,-8,+3,浮,42,
"ゴーフレットカッター(1)

中
 / 14",18F,-7,+4,+4,,
"ゴーフレットカッター(2)

中,上
 / 14,11",,-3,+8,+8,,1段目から連続ヒット
"ゴーフレットカッター

中,上,中
 / 14,11,20",,-10,+1,D※,,"2段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予10F
S2変更：ダメージ17→20
空中ヒットでパンチ系叩きつけ（後ろ受身可）に変更"
"ゴーフレットパンチャー

中,上
 / 14,20",,-9,D,D,,1段目から連続ヒット
"ゴーフレットキッカー(2)

中,下
 / 14,10",,-12,-1,-1,,1段目カウンターから連続ヒット
"ゴーフレットキッカー

中,下,上
 / 14,10,16",,-13,±0,±0,,2段目から連続ヒット
"フロントキック

中
 / 16",13F,-9,+2,+2,41,
"ラーナフリップ(2)

中中
 / 6,6",18F,-13,D※,D※,,
"ラーナフリップ

中中,中
 / 6,6,23",,-4,D※,D＊,,ScJS
"クーペチョップ

中
 / 18",18F,-11,+5S,D※,,"しゃがみ帰着
ノーマルヒットで強制しゃがみ"
"コンビネーションミンチ(1)

中
 / 12",15F,-9,+2,+2,43,
"コンビネーションミンチ(2)

中,中
 / 12,14",,-10,+1,+1,,1段目から連続ヒット
"コンビネーションミンチ(3)

中,中,中
 / 12,14,18",,-12,+1,+1,,ディレイ可
"コンビネーションミンチ

中,中,中,中
 / 12,14,18,21",,-21,D,D※,,"3段目から連続ヒット
ディレイ幅12F
ヒット確認猶予6F"
"コンビネーションブル

中,中
 / 12,21",,-4,+9,D※,,
"コンビネーションバルド

中,中
 / 12,21",,-13,D※,D※,,1段目から連続ヒット
"パニーニスイープ(1)

下
 / 14",19F,-18,-7,-7,,"CS6F
しゃがみ帰着"
"パニーニスイープ

下,上
 / 14,20",,-8,D※,D※,,"Sc
1段目カウンターから連続ヒット"
"トルネードミキサー(1)

下
 / 11",16F,-12,-1,-1,,
"トルネードミキサー(2)

下,上
 / 11,15",,-7,-2,-2,,1段目カウンターから連続ヒット
"トルネードミキサー

下,上,中
 / 11,15,24",,-12,D※,D＊,,"2段目カウンターから連続ヒット
S2変更：判定上方強化"
"アピシウススペシャル(2)

上上
 / 5,5",14F,-9,+2,+2,,
"アピシウススペシャル(3)

上上,中
 / 5,5,5",,-12G,+3,+3,,"1段目から連続ヒット
ガード不可-8Fまで"
"アピシウススペシャル

上上,中,上
 / 5,5,5,20",,-16,D※,D※,," ヒット時、追加入力でチャージ
1段目から連続ヒット"
"ダックフリップ

中中
 / 12,20",15F,-24,浮※,浮※,,"JS
壁際で2段目をガード時は-15F
後半にジャンプステータスあり"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"バイツアッパー

中
 / 17",14F,-8,+6,+6,,
"リエゾンスパイク

下
 / 17",20F,-12,+2,+14G,,
"コントルノファルス(1)

下
 / 15",24F,-12,-1,-1,,CS6F
"コントルノファルス(2)

下,中
 / 15,14",,-12,-2,-2,,"JS
1段目カウンターから連続ヒット
判定持続2F"
"コントルノファルス(3)

下,中,上
 / 15,14,12",,-10,+3,+3,,2段目カウンターから連続ヒット
"コントルノファルス

下,中,上,中
 / 15,14,12,18",,-12,D※,D※,,"3段目カウンターから連続ヒット
持続になりやすい"
"コントルノミスト

下,中,下
 / 15,14,10",,-12,-1,-1,,CS
"コントルノミスト～しゃがみ

下,中,下
 / 15,14,10",,-12,-1,-1,,"CS
しゃがみ帰着"
"アバスナイプ

中
 / 16",18F,-13,浮※,浮※,,
"ユイルスリップ(1)

下
 / 14",19F,-31,+6,+6,,1段目ガードで2段目派生不可
"ユイルスリップ

下,下
 / 14,12",,-,+8S,+8S,,"1段目から連続ヒット
ヒットで強制しゃがみ"
"ユイルスリップ（2段目のみ）

下
 / 12",,-28,-9S,D※,,ノーマルヒットで強制しゃがみ
"グラトニーバイツ(1)

中
 / 15",17F,-9,+4S,+4S,,"ヒットで強制しゃがみ
判定持続1Fまで確認"
"グラトニーバイツ

中,中
 / 15,16",,-8,+7,+7,,1段目から連続ヒット
"コンビネーションビター(1)

中
 / 10",13F,-5,+6,+6,,
"コンビネーションビター(2)

中,上
 / 10,12",,-3,+8,+8,,1段目から連続ヒット
"コンビネーションビター(3)

中,上,中
 / 10,12,16",,-9,+7,+7,,"2段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予8F"
"コンビネーションビター

中,上,中,上
 / 10,12,16,20",,-7,D※,D※,,"Sc
3段目から連続ヒット"
"ワッパーキック

中
 / 20",17F,-15,D,D※,,
"ブレーツェルクラッシュ(1)

中
 / 15",15F,-7,+4,+4,,S2変更：ガード・ヒットバック軽減
"ブレーツェルクラッシュ

中,中
 / 15,17",,-7,+9S,+9S,,"ヒットで強制しゃがみ
1段目カウンターから連続ヒット
S2変更：2段目の発生タイミングを3F遅くした"
"コンビネーションビタースイート

中,上
 / 15,20",,-7,+11K,+11K,,"Sc
1段目から連続ヒット
S2変更：連続ヒット
ヒットできりもみダウン→+11KF
判定下方強化"
"スリースターコンボ(1)

中
 / 20",17F,-9,+8S,+8S,,ヒットで強制しゃがみ
"スリースターコンボ(2)

中,中
 / 20,10",,-11,±0,±0,,"1段目カウンターから連続ヒット
ディレイ幅10F
カウンター確認猶予9F"
"スリースターコンボ

中,中,上
 / 20,10,20",,-16,D※,D※,,"2段目から連続ヒット
ディレイ幅20F
ヒット確認猶予20F"
"リバーススピナーボール（RSB）

特殊
 / ",,,,,50,"CS6F
しゃがみ帰着
しゃがみステータス以前から姿勢で潜る"
