技名コマンド判定 / ダメージ,発生,Grd,NH,CH,全体硬直,備考
"ブラッディマスカレード･ハーケン

中,上,上
 / 16,10,24",,-3,D※,D※,,"Sc
2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予2F"
"ブラッディマスカレード･ランス

中,上,中
 / 16,10,24",,-17,D※,D※,,"2段目カウンターから連続ヒット
ディレイ可
カウンター確認猶予5F"
"ソーンウィップ

下
 / 14",19F,-12,+1,+1,,
"ローキック

下
 / 7",12F,-13,-2,-2,,"CS4F
しゃがみ帰着"
"マッターホルンキャノン

中
 / 23",17F,-21,浮※,浮※,,"姿勢潜り
発生5Fあたりから上段を潜る"
"シットジャブ

特中
 / 5",10F,-5,+6,+6,,"CS4F
しゃがみ帰着
技後入力で立ち帰着"
"シットストレート

特中
 / 8",11F,-4,+7,+7,,"CS4F
しゃがみ帰着"
"ラウンドカッター

上
 / 25",20F,-8,D※,D＊,,"HScCS6F
発生19Fだがリーチが短いため不成立
S2変更：ホーミングアタック
ダメージ20→25"
"エーデルワイス

下
 / 20",30F,-24,D※,D※,58,HCS5F
"フリージア･スラスト

下
 / 20",24F,-18,D※,D＊,,"CS6F
しゃがみ帰着
判定持続1F
S2変更：ガードバック軽減"
"エリゼ･ルブラアロンジ

中
 / 16",17F,-6,+2,+2,,
"エリゼ･ルブラアロンジ～パラードステップ

中,特殊
 / 16",17F,+1,+9,+9,,"パラードステップ（)に移行
トゥースマッシュ（PS中）のみ発生が3F遅れる
S2変更：PS中の出せるタイミングが3F遅くなった"
"エリゼ・ルブラアロンジ・カロコレ

中,中
 / 16,22",,-11,D※,D※,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予5F"
"ヘリオトロープ(1)

上
 / 15",13F,-11,±0,±0,,
"ヘリオトロープ

上,中
 / 15,13",,-4,+7,+7,,"1段目から連続ヒット
ディレイ可
ヒット確認猶予10F"
"ヘリオトロープ～背向け

上,中
 / 15,13",,-4,+7,+7,,背向け移行
"ヘリオトロープ･コサージュ

上,中,中
 / 15,13,27",,-12,D※,D※,,"2段目カウンターから連続ヒット
ディレイ可
ヒット確認猶予7F"
"ラビットエア(奥)
 or 背向け中
特殊
 / ",,,,,38,JS10F
"ラビットエア(手前)
 or 背向け中
特殊
 / ",,,,,38,JS10F
"ラビットエア～パラードステップ
 or 
特殊
 / ",,,,,,"JS10F
パラードステップ（）に移行
しゃがみ帰着"
"ラビットテール
【】 or 【】
特殊,下
 / 25",49F,-15,D※,D※,,"CS
発生の値はコマンド入力開始から
単体の発生は24F
しゃがみ帰着
判定持続1F
S2変更：ガード硬直-17F→-15F
ガードバック軽減"
"ラビットスパインシュート
【】 or 【】
特殊,中
 / 27",48F,-6,D※,D※,,"JS
発生の値はコマンド入力開始から
単体の発生は23F
判定持続6F"
"デンドロビウム

中
 / 24",23F,-14,D※,D＊,,
"スパインシュートff
ﾖﾐ

中段ガード不能
 / 50",63F,D,D※,D※,,JS55F
